,Unnamed: 0,label_norm,speaker,headline_text,subject,stateinfo,partyaffiliation,barelytruecounts_norm,falsecounts_norm,halftruecounts_norm,mostlytrueocunts_norm,pantsonfirecounts_norm,twitter_handle,followers_norm,tweets_norm,clean,sentiment_vector,vader_polarity,sentiment_score,index,topic_number,lda_score,topic_top_words,cred_vector,label_bin
10,10,1.5179081507326035,barack-obama,McCain opposed a requirement that the government buy American-made motorcycles. And he said all buy-American provisions were quote 'disgraceful.' ,federal-budget,Illinois,democrat,2.2133963707978466,1.6713359335231688,2.896310844996488,2.944464269278895,0.14750343607264618,BarackObama,2.908789232926601,0.33043285322761273,mccain oppos requir govern buy american made motorcycle said buy american proves quot disgrace,"[0.198, 0.802, 0.0, -0.4939]",0,-0.4939,10,2,0.43185332417488104,administr year govern peopl time obama offic nation last said,[ 0.33043285  1.51790815 -0.4939      0.43185332],6
11,11,0.055524101134036455,gwen-moore,"Water rates in Manila, Philippines, were raised up to 845 percent when a subsidiary of the World Bank became a partial owner.","financial-regulation,foreign-policy,water",Wisconsin,democrat,-0.6758084483999761,-0.5763941791800403,-0.5549405698286373,-0.5461451656814293,-0.4504864199463114,RepGwenMoore ‏,-0.4467355538056919,-0.3115026154606546,water rate manila philippic rais percent subsidiary world bank became partial owner,"[0.0, 1.0, 0.0, 0.0]",0,0.0,11,4,0.5792147517204285,percent obama text barack million nation presid rate sinc debt,[-0.31150262  0.0555241   0.          0.57921475],4
12,12,0.6404777209734632,jack-lew,"Almost 100,000 people left Puerto Rico last year.","bankruptcy,economy,population","Washington, D.C. ",democrat,-0.8051758283640578,-0.6770388110921243,-0.6434341958497943,-0.5897777836184335,-0.5252351519486811,repjohnlewis ‏,-0.4143774492503996,-0.6638595064139093,almost peopl left puerto rico last year,"[0.0, 1.0, 0.0, 0.0]",0,0.0,12,2,0.7749776840209961,administr year govern peopl time obama offic nation last said,[-0.66385951  0.64047772  0.          0.77497768],5
13,13,0.6404777209734632,hillary-clinton,We just had the best year for the auto industry in America in history.,economy,New York,democrat,0.9197225711570304,0.2623110867539929,0.8830808530151649,1.0464453890192191,-0.0019940279320932,HillaryClinton,0.3273927842085046,-0.0121262662985175,best year auto industry america histori,"[0.0, 0.543, 0.457, 0.6369]",0,0.6369,13,5,0.434099018573761,year state last highest american percent citi rate school budget,[-0.01212627  0.64047772  0.6369      0.43409902],5
14,14,-1.4068599484645308,nancy-pelosi,I dont know who (Jonathan Gruber) is.,health-care,California,democrat,-0.6758084483999761,-0.4757495472679562,-0.4000767242916124,-0.5679614746499314,-0.300988955941572,SpeakerPelosi,-0.3682430959718847,-0.16511665273095022,dont know jonathan grubber,"[0.0, 1.0, 0.0, 0.0]",0,0.0,14,0,0.10000000149011612,percent want said republican increas company wisconsin citi plan text,[-0.16511665 -1.40685995  0.          0.1       ],2
15,15,0.6404777209734632,hillary-clinton,Hate crimes against American Muslims and mosques have tripled after Paris and San Bernardino.,"crime,diversity,homeland-security,terrorism",New York,democrat,0.9197225711570304,0.2623110867539929,0.8830808530151649,1.0464453890192191,-0.0019940279320932,HillaryClinton,0.3273927842085046,-0.0121262662985175,hate crime american muslim mosque trial pari san bernardino,"[0.507, 0.493, 0.0, -0.802]",-1,-0.802,15,1,0.5499525666236877,support obama american never would trump educ creat obamacare candid,[-0.01212627  0.64047772 -0.802       0.54995257],5
16,16,0.055524101134036455,ted-nugent,Rick Perry has never lost an election and remains the only person to have won the Texas governorship three times in landslide elections.,candidates-biography,Texas,republican,-0.8051758283640578,-0.7105870217294856,-0.5991873828392158,-0.6115940925869354,-0.3757376879439417,TedNugent,-0.4364683322623966,-0.5721959115068114,rick peri never lost elect remain person text governorship three time landslide elect,"[0.0, 0.859, 0.141, 0.2411]",0,0.2411,16,1,0.5058608651161194,support obama american never would trump educ creat obamacare candid,[-0.57219591  0.0555241   0.2411      0.50586087],4
17,17,-1.4068599484645308,pamela-geller,"ISIS supporter tweeted at 10:34 a.m. Shooting began at 10:45 a.m. in Chattanooga, Tenn.","technology,terrorism",New York,activist,-0.8051758283640578,-0.6770388110921243,-0.621310789344505,-0.6115940925869354,-0.5252351519486811,PamelaGeller,-0.4415480638344317,-0.6788827559355002,isi support tweet shoot began chattanooga tenn,"[0.238, 0.495, 0.267, 0.0772]",0,0.0772,17,1,0.5499887466430664,support obama american never would trump educ creat obamacare candid,[-0.67888276 -1.40685995  0.0772      0.54998875],2
18,18,0.6404777209734632,peter-kinder,Youth unemployment in minority communities is about 40 to 45 percent.,"diversity,economy,jobs",Missouri,republican,-0.8051758283640578,-0.7105870217294856,-0.6434341958497943,-0.5897777836184335,-0.4504864199463114,PeterKinder,-0.4475662454984551,0.238624106151224,youth unemploy minor community percent,"[0.0, 1.0, 0.0, 0.0]",0,0.0,18,0,0.5499843955039978,percent want said republican increas company wisconsin citi plan text,[0.23862411 0.64047772 0.         0.5499844 ],5
19,19,1.5179081507326035,hillary-clinton,Says Paul Ryan is still endorsing Trump.,"candidates-biography,elections,campaign-advertising",New York,democrat,0.9197225711570304,0.2623110867539929,0.8830808530151649,1.0464453890192191,-0.0019940279320932,HillaryClinton,0.3273927842085046,-0.0121262662985175,say paul ryan still vendors trump,"[0.0, 1.0, 0.0, 0.0]",0,0.0,19,1,0.5499899983406067,support obama american never would trump educ creat obamacare candid,[-0.01212627  1.51790815  0.          0.54999   ],6
20,20,-0.2369527087856769,nicholas-kettle,"If you look at states that are right to work, they constantly do not have budget deficits and they have very good business climates.","economy,labor,states,unions,workers",Rhode Island,republican,-0.7620533683760305,-0.7105870217294856,-0.6434341958497943,-0.6115940925869354,-0.5252351519486811,nickkettle21,-0.4478814870496952,-0.7645951119016781,look state right work constant budget deficit good busi climat,"[0.199, 0.588, 0.213, 0.0516]",0,0.0516,20,5,0.4311708509922028,year state last highest american percent citi rate school budget,[-0.76459511 -0.23695271  0.0516      0.43117085],3
21,21,-1.4068599484645308,shelley-moore-capito,What (the Obama administration is) going to come out with in the next several months is youre not even going to be able to burn coal very limitedly in the existing plants.,"climate-change,energy,environment,government-regulation",West Virginia,republican,-0.7620533683760305,-0.6770388110921243,-0.6434341958497943,-0.6115940925869354,-0.5252351519486811,SenCapito,-0.4457852113866979,-0.2395071394924509,obama administr go come next sever month your even go abl burn coal limit exist plant,"[0.0, 1.0, 0.0, 0.0]",0,0.0,21,2,0.6999573111534119,administr year govern peopl time obama offic nation last said,[-0.23950714 -1.40685995  0.          0.69995731],2
22,22,0.6404777209734632,rick-scott,We cut business taxes so today 70 percent of our businesses dont pay a business tax.,"small-business,taxes",Florida,republican,0.4022530513007041,0.06102182292982496,0.1972552513511978,0.13016041234213355,-0.0019940279320932,SenRickScott,-0.4399919085657886,0.15421811970866267,cut busi tax today percent busi dont pay busi tax,"[0.184, 0.702, 0.114, -0.2033]",0,-0.2033,22,0,0.5499851107597351,percent want said republican increas company wisconsin citi plan text,[ 0.15421812  0.64047772 -0.2033      0.54998511],5
23,23,0.6404777209734632,tom-cotton,Says Mark Pryor votes with Obama 93 percent of the time.,"bipartisanship,voting-record",Arkansas,republican,-0.6758084483999761,-0.5763941791800403,-0.5991873828392158,-0.5461451656814293,-0.4504864199463114,SenTomCotton,-0.44320283685734063,-0.19596148870523106,say mark prior vote obama percent time,"[0.0, 1.0, 0.0, 0.0]",0,0.0,23,8,0.590070366859436,vote world take year time state candid spend republican fund,[-0.19596149  0.64047772  0.          0.59007037],5
24,24,1.5179081507326035,ted-cruz,We have a federal government that thinks they have the authority to regulate our toilet seats.,"consumer-safety,corrections-and-updates,government-regulation,market-regulation,states,supreme-court,workers",Texas,republican,0.7472327312049217,0.3965039293034383,-0.3115830982704553,-0.1970842221853969,0.0727547040702765,tedcruz,-0.3426172187574289,0.9338304209691904,feder govern think author regul toilet seat,"[0.0, 1.0, 0.0, 0.0]",0,0.0,24,6,0.6999593377113342,health care plan fund immigra american cost govern feder peopl,[0.93383042 1.51790815 0.         0.69995934],6
25,25,1.5179081507326035,lee-leffingwell,Austin is a city that has basically doubled in size every 25 years or so since it was founded.,"city-government,population",Texas,democrat,-0.7620533683760305,-0.7105870217294856,-0.5549405698286373,-0.5897777836184335,-0.5252351519486811,TheRealLeeVIP,-0.4478780395400047,-0.7772959267146172,austin citi basic doubl size every year sinc found,"[0.0, 1.0, 0.0, 0.0]",0,0.0,25,5,0.6039107441902161,year state last highest american percent citi rate school budget,[-0.77729593  1.51790815  0.          0.60391074],6
26,26,1.5179081507326035,kelly-ayotte,"Under President George W. Bush, we added $4.9 trillion to the debt. Under President Obama weve added $6.5 trillion to the debt.",debt,New Hampshire,republican,-0.7189309083880033,-0.6770388110921243,-0.621310789344505,-0.5243288567129273,-0.5252351519486811,KellyAyotte,-0.44586308082576215,-0.10095939390444618,presid george w bush ad trillion debt presid obama weve ad trillion debt,"[0.333, 0.667, 0.0, -0.6124]",0,-0.6124,26,4,0.8499860167503357,percent obama text barack million nation presid rate sinc debt,[-0.10095939  1.51790815 -0.6124      0.84998602],6
27,27,-1.4068599484645308,marco-rubio,Says a U.S. Supreme Court justice suggested that some U.S. cases will be decided based on South African law.,"legal-issues,supreme-court",Florida,republican,0.6178653512408401,0.09457003356718628,0.06451481231946221,0.15197672131063558,-0.1514914919368326,marcorubio,-0.3248870875900877,-0.005666994765079874,say u supreme court justic suggest u case decid base south african law,"[0.0, 0.735, 0.265, 0.5574]",0,0.5574,27,0,0.10000000149011612,percent want said republican increas company wisconsin citi plan text,[-0.00566699 -1.40685995  0.5574      0.1       ],2
28,28,-1.4068599484645308,jerry-patterson,We have a director of homeland security who cannot use and will not use the term 'terrorist attack' but instead substitutes 'man-made disaster.' ,"homeland-security,terrorism",Texas,republican,-0.7620533683760305,-0.6770388110921243,-0.621310789344505,-0.5461451656814293,-0.5252351519486811,Patterson4TX,-0.4477413726650265,-0.6231443229278587,director homeland secur use use term terrorist attack instead substitute man made disas,"[0.415, 0.585, 0.0, -0.8316]",0,-0.8316,28,0,0.10000000149011612,percent want said republican increas company wisconsin citi plan text,[-0.62314432 -1.40685995 -0.8316      0.1       ],2
29,29,0.055524101134036455,bernie-s,African-American youth unemployment is 51 percent. Hispanic youth unemployment is 36 percent.,"diversity,economy,jobs",Vermont,independent,-0.028971548579568043,-0.3080084940811497,-0.15671925273343046,0.28287457512164776,-0.5252351519486811,SenSanders,-0.18433354079237568,0.6574606906396345,african american youth unemploy percent hispana youth unemploy percent,"[0.0, 1.0, 0.0, 0.0]",0,0.0,29,0,0.7749379277229309,percent want said republican increas company wisconsin citi plan text,[0.65746069 0.0555241  0.         0.77493793],4
30,30,-1.4068599484645308,john-boehner,President Barack Obama took exactly none of his own deficit reduction commissions ideas. Not one.,"deficit,federal-budget",Ohio,republican,-0.2445838485197041,0.02747361229246363,-0.4000767242916124,-0.5243288567129273,-0.3757376879439417,SpeakerBoehner,-0.4035375299276015,0.8421668260620924,presid barack obama took exact none deficit reduce commits idea one,"[0.087, 0.73, 0.183, 0.2924]",0,0.2924,30,4,0.7749793529510498,percent obama text barack million nation presid rate sinc debt,[ 0.84216683 -1.40685995  0.2924      0.77497935],2
31,31,-0.2369527087856769,rick-perry,Says the paperback edition of Mitt Romneys book deleted line that Massachusetts individual mandate should be the model for the country,"health-care,states",Texas,republican,0.4884979712767584,0.29585929739135425,0.2857488773723549,-0.10981898631138877,0.8202420240939734,GovernorPerry,-0.4366916613075764,-0.5439638145797637,say paperback edit mitt romney book delete line massachusetts individu mandat model country,"[0.0, 1.0, 0.0, 0.0]",0,0.0,31,4,0.5499615669250488,percent obama text barack million nation presid rate sinc debt,[-0.54396381 -0.23695271  0.          0.54996157],3
32,32,-1.4068599484645308,ken-cuccinelli,Says Terry McAuliffe is the person who invented the scheme to rent out the Lincoln Bedroom.,"campaign-finance,ethics,history",Virginia,republican,-0.7620533683760305,-0.3751049153558723,-0.5770639763339265,-0.5679614746499314,-0.4504864199463114,KenCuccinelli,-0.4471755382763752,-0.6337404312860822,say terri mcauliff person invent scheme rent lincoln bedroom,"[0.0, 1.0, 0.0, 0.0]",0,0.0,32,0,0.10000000149011612,percent want said republican increas company wisconsin citi plan text,[-0.63374043 -1.40685995  0.          0.1       ],2
33,33,1.5179081507326035,andrew-cuomo,"We created 800,000 new jobs, we cut the unemployment rate almost in half and today New York State has more private sector jobs than it has ever had in its history",jobs,New York,democrat,-0.7620533683760305,-0.7105870217294856,-0.6434341958497943,-0.5897777836184335,-0.5252351519486811,NYGovCuomo,-0.4209093098583069,1.0598225039135467,creat new job cut unemploy rate almost half today new york state privat sector job ever histori,"[0.116, 0.884, 0.0, -0.2732]",0,-0.2732,33,5,0.6667653322219849,year state last highest american percent citi rate school budget,[ 1.0598225   1.51790815 -0.2732      0.66676533],6
34,34,-0.2369527087856769,sid-miller,"We have towns in West Texas that are out of water, that are having to truck in water.",water,Texas,republican,-0.7620533683760305,-0.6434906004547629,-0.5991873828392158,-0.6115940925869354,-0.4504864199463114,MillerForTexas,-0.4476734345841532,-0.2290561833035181,town west text water truck water,"[0.0, 1.0, 0.0, 0.0]",0,0.0,34,4,0.5499798655509949,percent obama text barack million nation presid rate sinc debt,[-0.22905618 -0.23695271  0.          0.54997987],3
35,35,0.055524101134036455,jim-barksdale,"In Georgia, women earn 82 cents for every dollar earned by men.","jobs,women",Georgia,democrat,-0.8051758283640578,-0.7105870217294856,-0.5991873828392158,-0.6115940925869354,-0.5252351519486811,jimbarksdale,-0.447860422449201,-0.7566117425906878,georgia woman earn cent every dollar earn men,"[0.0, 1.0, 0.0, 0.0]",0,0.0,35,3,0.6999830007553101,presid peopl every obama america half offic barack money cost,[-0.75661174  0.0555241   0.          0.699983  ],4
36,36,0.055524101134036455,david-raynor,A federal system that verifies employees are authorized to work in the U.S. is inaccurate anywhere from 50 percent all the way up to in excess of 80 percent of the time.,immigration,Georgia,none,-0.8051758283640578,-0.7105870217294856,-0.621310789344505,-0.6115940925869354,-0.5252351519486811,crddraynor,-0.4478778181402998,-0.7904321980354286,feder system verify employe author work u incur anywhere percent way excess percent time,"[0.0, 1.0, 0.0, 0.0]",0,0.0,36,0,0.6411420106887817,percent want said republican increas company wisconsin citi plan text,[-0.7904322   0.0555241   0.          0.64114201],4
37,37,-0.2369527087856769,donald-trump,"They were going to build the wall a while ago, not so long ago, like in 06. And they couldnt get environmental impact statements.",immigration,New York,republican,1.9115391508816564,3.1139089909297057,0.4848595359199583,0.19560933924763965,4.03443750019587,realDonaldTrump,1.4568784655349833,2.2356276512531306,go build wall ago long ago like couldnt get environment impact statement,"[0.0, 0.815, 0.185, 0.3612]",0,0.3612,37,0,0.10000000149011612,percent want said republican increas company wisconsin citi plan text,[ 2.23562765 -0.23695271  0.3612      0.1       ],3
38,38,-1.4068599484645308,john-mccain,Sen. Obama's campaign announced that he's choosing his cabinet.,elections,Arizona,republican,0.5316204312647856,0.5977931931276061,0.042391405814172944,0.19560933924763965,0.0727547040702765,SenJohnMcCain,-0.3484288977538445,0.2423980625527831,sen obama campaign announc choos cabinet,"[0.0, 1.0, 0.0, 0.0]",0,0.0,38,4,0.5499334335327148,percent obama text barack million nation presid rate sinc debt,[ 0.24239806 -1.40685995  0.          0.54993343],2
39,39,0.6404777209734632,rudy-giuliani,"Said he's the only Republican candidate ""who's actually turned around a government economy.""",job-accomplishments,New York,republican,-0.4170736884718129,-0.34155670471851096,-0.4222001307969017,-0.4588799298074213,-0.300988955941572,RudyGiuliani,-0.4381650447151184,-0.7696754378268538,said republican candid actual turn around govern economi,"[0.0, 1.0, 0.0, 0.0]",0,0.0,39,0,0.3110909163951874,percent want said republican increas company wisconsin citi plan text,[-0.76967544  0.64047772  0.          0.31109092],5
40,40,1.5179081507326035,john-barrasso,"On military recruiters at Harvard, Elena Kagan ""took a position and the Supreme Court ruled unanimously that she was wrong.""","education,gays-and-lesbians,kagan-nomination,military,supreme-court",Wyoming,republican,-0.7620533683760305,-0.7105870217294856,-0.6434341958497943,-0.6115940925869354,-0.5252351519486811,barrassoforwyo ‏,-0.4478797158520561,-0.7844809590945085,military recruit harvard elena kagan took posit supreme court rule unani wrong,"[0.186, 0.599, 0.216, 0.128]",0,0.128,40,0,0.10000000149011612,percent want said republican increas company wisconsin citi plan text,[-0.78448096  1.51790815  0.128       0.1       ],6
41,41,-1.4068599484645308,john-depetro,"Under Mayor Cicilline, [Providence] was a sanctuary city.","history,homeland-security,immigration,legal-issues,pundits",Rhode Island,talk-show-host,-0.8051758283640578,-0.6099423898174016,-0.6434341958497943,-0.6115940925869354,-0.300988955941572,JohnDePetroshow,-0.4476132771214805,4.509654111446402,mayor chillin provid sanctuary citi,"[0.0, 1.0, 0.0, 0.0]",0,0.0,41,5,0.5499720573425293,year state last highest american percent citi rate school budget,[ 4.50965411 -1.40685995  0.          0.54997206],2
42,42,-1.4068599484645308,garnet-coleman,Transgender individuals in the U.S. have a 1-in-12 chance of being murdered.,"corrections-and-updates,crime,criminal-justice,sexuality",Texas,democrat,-0.7620533683760305,-0.7105870217294856,-0.621310789344505,-0.6115940925869354,-0.4504864199463114,GFColeman,-0.4476329500666868,-0.6917287229177299,transcend individu u chanc murder,"[0.61, 0.39, 0.0, -0.6908]",-1,-0.6908,42,0,0.10000000149011612,percent want said republican increas company wisconsin citi plan text,[-0.69172872 -1.40685995 -0.6908      0.1       ],1
43,43,1.5179081507326035,mitt-romney,"At Bain Capital, we helped start an early childhood learning company called Bright Horizons that First Lady Michelle Obama rightly praised.","candidates-biography,job-accomplishments",Massachusetts,republican,0.6609878112288673,0.3629557186660769,0.6397233814569832,0.10834410337363154,0.8949907560963432,MittRomney,-0.3853774721618848,-0.6726412126559986,bain capit help start early childhood learn company call bright horizon first ladi michelle obama right praise,"[0.0, 0.603, 0.397, 0.8481]",0,0.8481,43,1,0.43485960364341736,support obama american never would trump educ creat obamacare candid,[-0.67264121  1.51790815  0.8481      0.4348596 ],6
44,44,-1.4068599484645308,donald-trump,"Says the man who rushed the stage at him in Dayton, Ohio, had chatter about ISIS, or with ISIS in his social media posts.","civil-rights,elections,terrorism",New York,republican,1.9115391508816564,3.1139089909297057,0.4848595359199583,0.19560933924763965,4.03443750019587,realDonaldTrump,1.4568784655349833,2.2356276512531306,say man rush stage dayton ohio chatter isi isi social medium post,"[0.0, 1.0, 0.0, 0.0]",0,0.0,44,0,0.10000000149011612,percent want said republican increas company wisconsin citi plan text,[ 2.23562765 -1.40685995  0.          0.1       ],2
45,45,-0.2369527087856769,rick-scott,Alex Sink funneled three quarters of a million dollars in no-bid contracts to Bank of America.,"economy,financial-regulation,message-machine",Florida,republican,0.4022530513007041,0.06102182292982496,0.1972552513511978,0.13016041234213355,-0.0019940279320932,SenRickScott,-0.4399919085657886,0.15421811970866267,alex sink funnel three quarter million dollar bid contract bank america,"[0.0, 0.901, 0.099, 0.0258]",0,0.0258,45,4,0.4055683314800263,percent obama text barack million nation presid rate sinc debt,[ 0.15421812 -0.23695271  0.0258      0.40556833],3
46,46,1.5179081507326035,terry-mcauliffe,"If you take the population growth here in Virginia, we are net zero on job creation since (Bob McDonnell) became governor.",jobs,Virginia,democrat,-0.2877063085077313,-0.5092977579053176,-0.5991873828392158,-0.5679614746499314,-0.300988955941572,TerryMcAuliffe,-0.4457861286140468,-0.4581063064442951,take popul growth virginia net zero job creation sinc bob mcconnell became governor,"[0.0, 0.701, 0.299, 0.5719]",0,0.5719,46,8,0.3680470287799835,vote world take year time state candid spend republican fund,[-0.45810631  1.51790815  0.5719      0.36804703],6
47,47,-0.2369527087856769,mitt-romney,"Under Obama, home values in Florida collapsed, construction jobs were lost and the state had a high foreclosure rate.","housing,message-machine-2012",Massachusetts,republican,0.6609878112288673,0.3629557186660769,0.6397233814569832,0.10834410337363154,0.8949907560963432,MittRomney,-0.3853774721618848,-0.6726412126559986,obama home valu florida collapse construct job lost state high foreclosure rate,"[0.438, 0.562, 0.0, -0.7184]",0,-0.7184,47,4,0.7749524712562561,percent obama text barack million nation presid rate sinc debt,[-0.67264121 -0.23695271 -0.7184      0.77495247],3
48,48,0.6404777209734632,alfredo-gutierrez,"The new Arizona immigration law ""says that any police officer can stop anyone who appears to them to be reasonably suspicious of being an undocumented person.""","immigration,legal-issues",Arizona,democrat,-0.8051758283640578,-0.7105870217294856,-0.6434341958497943,-0.5897777836184335,-0.5252351519486811,AlfredoPhxAZ,-0.4477798329566195,-0.30816411556696777,new arizona immigra law say polic offic stop anyone appear reason suspect undock person,"[0.268, 0.732, 0.0, -0.5267]",0,-0.5267,48,2,0.3712877333164215,administr year govern peopl time obama offic nation last said,[-0.30816412  0.64047772 -0.5267      0.37128773],5
49,49,0.6404777209734632,barack-obama,The cost of health care is now the single-biggest factor driving down the federal budget deficit.,"deficit,federal-budget,health-care",Illinois,democrat,2.2133963707978466,1.6713359335231688,2.896310844996488,2.944464269278895,0.14750343607264618,BarackObama,2.908789232926601,0.33043285322761273,cost health care singl biggest factor drive feder budget deficit,"[0.194, 0.576, 0.23, 0.128]",0,0.128,49,6,0.677968442440033,health care plan fund immigra american cost govern feder peopl,[0.33043285 0.64047772 0.128      0.67796844],5
50,50,1.5179081507326035,george-will,"During the recession, the consumer in his native perversity has begun to save. The savings rate is now 6.2 percent.","economy,abc-news-week",Maryland,columnist,-0.5033186084478674,-0.5092977579053176,-0.5770639763339265,-0.5025125477444253,-0.4504864199463114,GeorgeWillRSS,-0.4476708726732823,-0.7443463842856208,recess consum native servers begun save save rate percent,"[0.0, 0.522, 0.478, 0.7506]",0,0.7506,50,4,0.6999669075012207,percent obama text barack million nation presid rate sinc debt,[-0.74434638  1.51790815  0.7506      0.69996691],6
51,51,-1.4068599484645308,elena-kagan,On whether a U.S. Supreme Court nominee should be forthcoming at confirmation hearings.,"kagan-nomination,supreme-court",New York,democrat,-0.8051758283640578,-0.7105870217294856,-0.621310789344505,-0.6115940925869354,-0.5252351519486811,KaganScotus,-0.4478317986302111,-0.7913031110511729,whether u supreme court nomine forthcom confirm hear,"[0.0, 0.625, 0.375, 0.5574]",0,0.5574,51,0,0.10000000149011612,percent want said republican increas company wisconsin citi plan text,[-0.79130311 -1.40685995  0.5574      0.1       ],2
