,jsonid,label,headline_text,subject,speaker,speakerjobtitle,stateinfo,partyaffiliation,barelytruecounts,falsecounts,halftruecounts,mostlytrueocunts,pantsonfirecounts,context,clean,sentiment_vector,vader_polarity,sentiment_score
383,1702.json,mostly-true,"Florida teachers are ""already paid $5,000 below the national average.""",education,dan-gelber,0,Florida,democrat,2.0,2.0,1.0,3.0,0.0,a letter posted on his campaign Web site.,florida teacher already paid nation averag,"[0.0, 1.0, 0.0, 0.0]",0,0.0
387,3237.json,half-true,"Americans, in the last 30 years, have more than doubled the amount of money we are spending per child (on education) and the results have gotten worse, not better.",education,michelle-rhee,Founder and CEO of Students First,0,none,0.0,0.0,1.0,0.0,0.0,talking to Florida legislators.,american last year doubl amount money spend per child educ result gotten wors better,"[0.0, 0.818, 0.182, 0.4404]",0,0.4404
398,6674.json,mostly-true,Says Georgia will send more state money per child to state charter schools and that budget cuts are not applied to those charter schools.,education,herb-garrett,Executive Director of the Georgia School Superintendents Association,Georgia,none,0.0,0.0,0.0,1.0,0.0,a letter,say georgia send state money per child state charter school budget cut appli charter school,"[0.13, 0.87, 0.0, -0.2732]",0,-0.2732
402,9382.json,half-true,"Nathan Deal cut the HOPE scholarship program so that literally 100,000 Georgians will not be able to go to college or get technical training that they so badly needed to raise -- you know, give them a chance at a good job.",education,peter-shumlin,governor and chair of Democratic Governors Association,Vermont,democrat,0.0,0.0,1.0,0.0,0.0,MSNBC,nathan deal cut hope scholarship program liter georgian abl go college get technic train bad need rais know give chanc good job,"[0.19, 0.612, 0.197, 0.0516]",0,0.0516
488,8819.json,mostly-true,"In the entire public school system in Camden last year, only three students graduated college ready.",education,chris-christie,Governor of New Jersey,New Jersey,republican,10.0,17.0,27.0,19.0,8.0,his “State of the State” address,entire public school system camden last year three student graduate college ready,"[0.0, 0.815, 0.185, 0.3612]",0,0.3612
544,12473.json,pants-fire,Says she was the first in her family to go to a four-year college.,education,katie-mcginty,0,Pennsylvania,democrat,1.0,0.0,0.0,1.0,1.0,On the 'About' page of McGinty's campaign website,say first famili go four year college,"[0.0, 1.0, 0.0, 0.0]",0,0.0
554,5325.json,mostly-true,"Right now, 50 percent of Florida students leaving high school cannot read at grade level.",education,bill-proctor,state representative,Florida ,republican,0.0,0.0,0.0,1.0,0.0,a newspaper article,right percent florida student leav high school read grade level,"[0.0, 1.0, 0.0, 0.0]",0,0.0
601,12201.json,barely-true,Race to the Top grants require participating states to adopt the Common Core standards as a condition for receiving federal funding.,education,david-jolly,0,Florida,republican,4.0,0.0,1.0,1.0,0.0,a statement on his campaign website,race top grant requir participa state adopt common core standard condit receiv feder fund,"[0.0, 0.647, 0.353, 0.6124]",0,0.6124
614,3705.json,true,"Nearly 2,000 high schools - roughly 12 percent of all secondary schools in the United States - produce about half of the nations dropouts.",education,bobby-scott,U.S. Congressman,Virginia,democrat,1.0,2.0,1.0,5.0,0.0,a news release.,near high school rough percent secondary school unit state produc half nation dropout,"[0.0, 1.0, 0.0, 0.0]",0,0.0
623,3886.json,mostly-true,"Out of 150,000 tenured teachers in the last 10 years, only 17 have been dismissed for incompetence.",education,chris-christie,Governor of New Jersey,New Jersey,republican,10.0,17.0,27.0,19.0,8.0,a speech at the Harvard Graduate School of Education,tenure teacher last year dismiss income,"[0.0, 1.0, 0.0, 0.0]",0,0.0
660,239.json,true,"It used to be the policy of the Republican Party to get rid of the Department of Education. We finally get in charge and a chance to do something, so we double the size of the Department of Education.",education,ron-paul,U.S. representative,Texas,republican,5.0,8.0,8.0,8.0,3.0,"a debate in Johnston, Iowa",use police republican parti get rid depart educ final get charg chanc cometh doubl size depart educ,"[0.0, 1.0, 0.0, 0.0]",0,0.0
720,2106.json,false,"In Ohio, we invested in our children, raising school funding by 5.5 percent in the last budget.",education,ted-strickland,Former Ohio governor,Ohio,democrat,2.0,6.0,7.0,4.0,1.0,a campaign speech,ohio invest child rais school fund percent last budget,"[0.0, 1.0, 0.0, 0.0]",0,0.0
726,12391.json,pants-fire,"Says Demond Means, turnaround district superintendent for Milwaukee Public Schools, said the district needs to be gutted.",education,wisconsin-jobs-now,0,Wisconsin,none,0.0,0.0,0.0,0.0,1.0,a Facebook posting.,say demand mean turnaround district superintend milwaukee public school said district need gut,"[0.111, 0.889, 0.0, -0.128]",0,-0.128
781,4910.json,mostly-true,"They say teachers only make on averagein New Jersey 60,000 dollars a year.They only work 180 days.",education,chris-christie,Governor of New Jersey,New Jersey,republican,10.0,17.0,27.0,19.0,8.0,a speech at Notre Dame's law school,say teacher make average new jersey dollar year work day,"[0.0, 1.0, 0.0, 0.0]",0,0.0
822,9402.json,true,The numbers make it clear that Georgia voters are increasingly taking advantage of early voting opportunities.,education,brian-kemp,Secretary of State,Georgia,republican,0.0,2.0,0.0,0.0,0.0,statement,number make clear georgia voter increas take advantage early vote opportun,"[0.0, 0.576, 0.424, 0.5994]",0,0.5994
922,2977.json,false,Teachers are working their third consecutive year -- some longer than that -- without salary increases.,education,kitty-boitnott,"President, Virginia Education Association",Virgina,none,0.0,1.0,0.0,1.0,0.0,a news conference.,teacher work third connect year longer without salary increas,"[0.0, 1.0, 0.0, 0.0]",0,0.0
926,10986.json,mostly-true,"After (Jeb) Bushs two terms in office, Floridas graduation rate was dead last and remains near the bottom.",education,dan-gelber,0,Florida,democrat,2.0,2.0,1.0,3.0,0.0,a Miami Herald op-ed,jeb bush two term offic florida graduate rate dead last remain near bottom,"[0.264, 0.736, 0.0, -0.6486]",0,-0.6486
975,12086.json,mostly-true,"Arizona schools rank 45th in the nation, dead last in funding per student.",education,hillary-clinton,Presidential candidate,New York,democrat,40.0,29.0,69.0,76.0,7.0,a political advertisement that aired in Arizona.,arizona school rank th nation dead last fund per student,"[0.323, 0.677, 0.0, -0.6486]",0,-0.6486
1012,1163.json,pants-fire,"Schoolchildren across the nation ""will be forced to watch the president justify his plans for government-run health care, banks, and automobile companies, increasing taxes on those who create jobs, and racking up more debt than any other president.""",education,republican-party-florida,0,0,republican,10.0,6.0,6.0,6.0,4.0,a press release,schoolchildren across nation forc watch presid justify plan govern run health care bank automobile company increas tax creat job rack debt presid,"[0.097, 0.778, 0.125, 0.1779]",0,0.1779
1030,4083.json,pants-fire,Former Atlanta Public Schools Superintendent Beverly Hall left the school district significantly better than she found it.,education,shirley-franklin,0,Georgia,democrat,0.0,0.0,1.0,0.0,1.0,a blog post,former atlanta public school superintend never hall left school district significa better found,"[0.0, 0.805, 0.195, 0.4404]",0,0.4404
1088,9415.json,mostly-true,Graduation and third-grade reading scores are up in the state since I took office.,education,scott-walker,Milwaukee County Executive,Wisconsin,republican,26.0,41.0,32.0,40.0,11.0,a radio interview,graduate third grade read score state sinc took offic,"[0.0, 1.0, 0.0, 0.0]",0,0.0
1138,12665.json,barely-true,Says he voted to remove Common Core from our schools.,education,ritch-workman,State representative,Florida,republican,1.0,1.0,0.0,0.0,0.0,an online ad,say vote remov common core school,"[0.0, 1.0, 0.0, 0.0]",0,0.0
1187,2418.json,barely-true,Barnes opposed the creation of the HOPE Scholarship and campaigned against Zell Miller on the issue.,education,GaGOP,0,0,republican,2.0,1.0,1.0,0.0,0.0,GOP press release,barn oppos creation hope scholarship campaign zell miller issu,"[0.0, 0.583, 0.417, 0.6124]",0,0.6124
1207,3137.json,mostly-true,Says Texas ranks 44th nationally in education funding per pupil.,education,wendy-davis,state senator,Texas,democrat,5.0,1.0,8.0,12.0,1.0,a press release,say text rank th nation educ fund per pupil,"[0.0, 1.0, 0.0, 0.0]",0,0.0
1234,3332.json,half-true,"Says the state share of Texas public education spending increased 82 percent over the past decade, reaching $20 billion in 2009.",education,rick-perry,Governor,Texas,republican,30.0,30.0,42.0,23.0,18.0,his State of the State address.,say state share text public educ spend increas percent past dead reach billion,"[0.244, 0.568, 0.188, -0.4588]",0,-0.4588
1251,7850.json,true,Cuyahoga County passed a program to guarantee a college savings account for every single child who enters kindergarten in this county -- the first county in the United States to do so.,education,ed-fitzgerald,Cuyahoga County executive,Ohio,democrat,1.0,1.0,0.0,1.0,0.0,a campaign speech,cuyahoga county pass program guarantee college save account every singl child enter kindergarten county first county unit state,"[0.0, 0.755, 0.245, 0.6369]",0,0.6369
1278,12464.json,half-true,The University of Wisconsin System had a jobs-for-life tenure program for professors.,education,scott-walker,Milwaukee County Executive,Wisconsin,republican,26.0,41.0,32.0,40.0,11.0,a radio interview,univers wisconsin system job life tenure program professor,"[0.0, 1.0, 0.0, 0.0]",0,0.0
1344,12443.json,mostly-true,Only 50 percent of students from Milwaukee public high schools go on to a two-or four-year college.,education,vicki-martin,President of Milwaukee Area Technical College,Wisconsin,education-official,0.0,0.0,0.0,1.0,0.0,a presentation at a panel discussion,percent student milwaukee public high school go two four year college,"[0.0, 1.0, 0.0, 0.0]",0,0.0
1360,7821.json,barely-true,Says only 25 percent of Texas high school students graduate prepared for college or careers.,education,bill-hammond,"CEO, president, Texas Association of Business & Chambers of Commerce",Texas,republican,1.0,0.0,0.0,1.0,0.0,an Austin American-Statesman news story,say percent text high school student graduate prepar college career,"[0.0, 1.0, 0.0, 0.0]",0,0.0
1371,12591.json,mostly-true,Says Donald Trump literally has no plans to make higher education more affordable.,education,roberta-lange,"Chairwoman, Nevada Democrats",Nevada,democrat,0.0,0.0,0.0,1.0,0.0,a press release,say donald trump liter plan make higher educ afford,"[0.0, 1.0, 0.0, 0.0]",0,0.0
1441,12507.json,mostly-true,"The average student debt coming out of the University of Wisconsin-Madison is something like 28,000 dollars.",education,russ-feingold,0,Wisconsin,democrat,2.0,4.0,7.0,5.0,1.0,a speech,averag student debt come univers wisconsin madison cometh like dollar,"[0.192, 0.615, 0.192, 0.0]",0,0.0
1450,8057.json,mostly-true,"New school testing standards will consume approximately twenty days of testing for elementary, middle and high school students.",education,will-weatherford,State Representative,Florida,republican,2.0,3.0,4.0,3.0,0.0,a letter to Education Commissioner Tony Bennett,new school test standard consum approxi twenty day test elementary middle high school student,"[0.0, 1.0, 0.0, 0.0]",0,0.0
1469,3371.json,false,"Says nobody in higher education believes Gov. Rick Perrys proposal to serve up $10,000 college degrees is possible.",education,andy-brown,Attorney,Texas,democrat,0.0,1.0,0.0,1.0,0.0,a web post.,say nobody higher educ belief gov rick peri propos serv college degre possibl,"[0.0, 1.0, 0.0, 0.0]",0,0.0
1485,8509.json,true,Says Rick Scott didnt even come to his own education summit. But he did take time to go to the tea party convention the same week.,education,charlie-crist,0,Florida,democrat,15.0,9.0,20.0,19.0,2.0,a rally announcing his candidacy for governor,say rick scott didn even come educ summit take time go tea parti convent week,"[0.0, 1.0, 0.0, 0.0]",0,0.0
1501,5605.json,mostly-true,Says New Jersey has the most educated population of all the states in this country.,education,sheila-oliver,Assemblywoman,New Jersey,democrat,0.0,1.0,1.0,3.0,0.0,a speech at Rider University,say new jersey educ popul state country,"[0.0, 1.0, 0.0, 0.0]",0,0.0
1517,5493.json,true,Between 1982 and 2007 the cost of a college education increased 439 percent.,education,ron-wyden,U.S. Senator,Oregon,democrat,0.0,1.0,0.0,3.0,0.0,a news release,cost college educ increas percent,"[0.0, 1.0, 0.0, 0.0]",0,0.0
1598,6503.json,half-true,On supporting the charter school amendment.,education,john-barge,0,Georgia,republican,0.0,0.0,0.0,1.0,0.0,an announcement,support charter school amend,"[0.0, 0.526, 0.474, 0.4019]",0,0.4019
1656,1580.json,pants-fire,Says the Texas State Board of Education is considering eliminating references to Christmas and the Constitution in textbooks.,education,gretchen-carlson,"co-anchor on ""Fox & Friends""",Minnesota,none,1.0,1.0,0.0,0.0,1.0,an episode of Fox & Friends,say text state board educ consid elimi refer christmas constitute textbook,"[0.0, 1.0, 0.0, 0.0]",0,0.0
1681,11748.json,half-true,Weve lifted high school graduation rates to new highs.,education,barack-obama,President,Illinois,democrat,70.0,71.0,160.0,163.0,9.0,a State of the Union speech,weve lift high school graduate rate new high,"[0.0, 1.0, 0.0, 0.0]",0,0.0
1683,8400.json,barely-true,"When SACS came back to the DeKalb County School District to give a midterm review, we got straight As.",education,michael-thurmond,Labor Commissioner,Georgia,democrat,1.0,0.0,0.0,0.0,0.0,a community meeting,sac came back deal county school district give midterm review got straight,"[0.0, 0.853, 0.147, 0.2263]",0,0.2263
1751,808.json,false,"The centerpiece of Senator McCain's education policy is to increase the voucher program in D.C. by 2,000 slots.",education,barack-obama,President,Illinois,democrat,70.0,71.0,160.0,163.0,9.0,"a debate in Hempstead, N.Y.",centerpiece sent mccain educ police increas voucher program c slot,"[0.0, 1.0, 0.0, 0.0]",0,0.0
1906,5274.json,barely-true,Students today take more years to get through college.,education,newt-gingrich,"Co-host on CNN's ""Crossfire""",Georgia,republican,16.0,15.0,20.0,10.0,11.0,comments at a campaign event,student today take year get college,"[0.0, 1.0, 0.0, 0.0]",0,0.0
1975,12990.json,true,"SaysGOP U.S. Senate candidate Darryl Glenn wants to eliminate the Department of Education and jeopardize college fundingfor 320,000 Coloradans.",education,colorado-democratic-party,0,Colorado ,democrat,0.0,0.0,0.0,0.0,0.0,a news release ,saysgop u sent candid daryl glenn want elimi depart educ jeopardy college fundingfor colorado,"[0.201, 0.714, 0.084, -0.4215]",0,-0.4215
2023,108.json,false,"Rural schools enroll 40 percent of American children, but receive only 22 percent of federal education funding.",education,john-edwards,former senator,North Carolina,democrat,0.0,2.0,4.0,4.0,1.0,"Des Moines, Iowa.",rural school enroll percent american child receiv percent feder educ fund,"[0.0, 1.0, 0.0, 0.0]",0,0.0
2037,11993.json,half-true,"An economic impact study found that for every $1 invested in pre-K in Pennsylvania, a total of $1.79 is generated in total spending within the state.",education,jim-kenney,Philadelphia Mayor,Pennsylvania,democrat,1.0,0.0,1.0,0.0,0.0,a speech before the Greater Philadelphia Chamber of Commerce,econom impact study found every invest pre k pennsylvania total generat total spend within state,"[0.0, 1.0, 0.0, 0.0]",0,0.0
2081,2812.json,false,Portland Community College serves more students than all of the states universities combined.,education,portland-community-college,community college,Oregon,none,0.0,1.0,0.0,0.0,0.0,the college's website,portland community college serf student state univers combin,"[0.0, 1.0, 0.0, 0.0]",0,0.0
2126,9654.json,mostly-true,We are 49th in the nation for our graduation rate,education,dennis-richardson,state representative,Oregon,republican,0.0,4.0,1.0,2.0,0.0,a campaign debate,th nation graduate rate,"[0.0, 1.0, 0.0, 0.0]",0,0.0
2210,3554.json,false,Austins Pease Elementary is a school that was created as part of the Texas Constitution.,education,meria-carstarphen,"Superintendent, Austin Independent School District",Texas,none,0.0,1.0,0.0,0.0,0.0,a radio interview.,austin pea elementary school creat part text constitute,"[0.0, 1.0, 0.0, 0.0]",0,0.0
2285,9649.json,barely-true,"With Rick Scott, there are more funds for preschool education.",education,republican-party-florida,0,0,republican,10.0,6.0,6.0,6.0,4.0,a TV ad,rick scott fund preschool educ,"[0.0, 1.0, 0.0, 0.0]",0,0.0
2353,1654.json,true,The Senate Republican education plan is an unfunded mandate for local school districts.,education,alex-sink,0,Florida,democrat,1.0,2.0,2.0,4.0,0.0,a press release,sent republican educ plan unfound mandat local school district,"[0.0, 1.0, 0.0, 0.0]",0,0.0
2427,188.json,false,"The form students fill out to get college financial aid is ""longer than the form to get U.S. citizenship.""",education,bill-richardson,Governor,New Mexico,democrat,1.0,2.0,3.0,8.0,1.0,"Manchester, N.H.",form student fill get college financi aid longer form get u citizenship,"[0.0, 1.0, 0.0, 0.0]",0,0.0
2445,5637.json,barely-true,The (Jackson) plan (for reforming Cleveland schools) lacks any data or methods proven to raise student achievement.,education,ohio-federation-teachers,Labor union for school teachers,Ohio,none,1.0,0.0,0.0,0.0,0.0,a news release,jackson plan reform cleveland school lack data method proven rais student achiev,"[0.173, 0.827, 0.0, -0.3182]",0,-0.3182
2477,9998.json,barely-true,The state-hired company that evaluates state-mandated student exams goes on Craigslist to get examiners to read our students essays.,education,leticia-van-de-putte,Pharmacist,Texas,democrat,2.0,2.0,4.0,1.0,1.0,a debate,state hire company eval state mandat student exam go craigslist get examin read student essay,"[0.0, 1.0, 0.0, 0.0]",0,0.0
2479,2740.json,pants-fire,Dan Gelber: On the record against scholarships to help our needy children attend Jewish private schools.,education,committee-florida-education,0,0,none,0.0,0.0,0.0,0.0,1.0,a mailer,dan lelber record scholarship help need child attend jewish privat school,"[0.0, 0.787, 0.213, 0.4019]",0,0.4019
2483,1619.json,true,"The cost to implement Florida's class size amendment so far has been ""$16 billion.""",education,don-gaetz,State Senator,Florida,republican,1.0,0.0,3.0,1.0,0.0,debate on the Senate floor.,cost implement florida class size amend far billion,"[0.0, 1.0, 0.0, 0.0]",0,0.0
2501,9475.json,barely-true,"Even when all other state agencies took cuts, Gov. [Nathan] Deal increased education spending every year.",education,GaGOP,0,0,republican,2.0,1.0,1.0,0.0,0.0,press release,even state agency took cut gov nathan deal increas educ spend every year,"[0.149, 0.851, 0.0, -0.2732]",0,-0.2732
2513,6171.json,mostly-true,"Just in the past 10 years, college tuition has increased 28 percent.",education,albio-sires,Congressman,New Jersey,democrat,0.0,0.0,0.0,1.0,0.0,a speech on the House floor,past year college tuition increas percent,"[0.0, 1.0, 0.0, 0.0]",0,0.0
2593,11935.json,mostly-true,The Arizona State Board of Educations failure to report teachers whose certifications have been revoked or suspended ... resulted in the death of a student.,education,diane-douglas,State Superintendent of Public Instruction,0,education-official,0.0,0.0,0.0,1.0,0.0,remarks made during a state Senate Education Committee meeting.,arizona state board educ failure report teacher whose certif revoke suspend result death student,"[0.463, 0.537, 0.0, -0.8591]",0,-0.8591
2604,7804.json,barely-true,Says Texas high school graduates must pass Algebra II to be eligible for automatic admission to states public universities.,education,leticia-van-de-putte,Pharmacist,Texas,democrat,2.0,2.0,4.0,1.0,1.0,an opinion column.,say text high school graduate must pas algebra ii elim automat admits state public univers,"[0.0, 0.864, 0.136, 0.296]",0,0.296
2606,1546.json,mostly-true,Our graduation rate is the highest it's ever been.,education,charlie-crist,0,Florida,democrat,15.0,9.0,20.0,19.0,2.0,his State of the State address,graduate rate highest ever,"[0.0, 1.0, 0.0, 0.0]",0,0.0
2732,7219.json,half-true,Says last year the graduation rate for our combined six-district footprint jumped 5.5 percent.,education,sam-adams,Mayor of Portland,Oregon,democrat,3.0,2.0,5.0,2.0,0.0,a term review document.,say last year graduate rate combin six district footprint jump percent,"[0.0, 1.0, 0.0, 0.0]",0,0.0
2833,10285.json,true,"At the 50 Milwaukee schools serving at least 80% African-American and at least 80% low income students, the reading proficiency is 8%.",education,alberta-darling,"State Senator, 8th District",Wisconsin,republican,1.0,1.0,2.0,1.0,1.0,an interview,milwaukee school serv least african american least low incom student read profit,"[0.0, 0.68, 0.32, 0.5739]",0,0.5739
2849,8423.json,false,Teachers were not involved in developing the Common Core State Standards.,education,public-comments-common-core-hearing,0,0,none,0.0,1.0,0.0,0.0,0.0,"Tampa, Fla.",teacher involv develop common core state standard,"[0.0, 1.0, 0.0, 0.0]",0,0.0
2852,7567.json,false,This (parent trigger) legislation was drafted by President Obamas top advisers. It was drafted by President Clintons top advisers.,education,carlos-trujillo,Florida House of Representatives,Florida,republican,0.0,1.0,0.0,0.0,0.0,a House Education Committee meeting,parent trigger legis draft presid obama top advis draft presid clinton top advis,"[0.0, 0.753, 0.247, 0.3818]",0,0.3818
2923,2228.json,barely-true,Ken Mercer wants Sean Hannity and James Dobson included in social studies texts.,education,rebecca-bell-metereau,"Professor, Texas State University",Texas,democrat,1.0,0.0,0.0,0.0,0.0,a campaign flier,ken mercer want sean hannity game robson includ social study text,"[0.0, 0.885, 0.115, 0.0772]",0,0.0772
2992,7688.json,barely-true,Schools in some states are spending up to 100 days a year doing test-prep or actual testing.,education,randi-weingarten,0,0,none,1.0,0.0,1.0,0.0,0.0,a news release,school state spend day year test prep actual test,"[0.0, 1.0, 0.0, 0.0]",0,0.0
3020,9328.json,mostly-true,"U.S. teenagers have now fallen behind their counterparts in Ireland, Poland and even Vietnam in math and science.",education,jeb-bush,0,Florida,republican,17.0,5.0,17.0,24.0,2.0,a speech at the Manhattan Institute,u teenage fallen behind counterpart ireland poland even vietnam math science,"[0.217, 0.783, 0.0, -0.3612]",0,-0.3612
3053,1961.json,true,"Says he ""fought against $3 billion in cuts to public education since 2003.""",education,dubose-porter,0,Georgia,democrat,0.0,0.0,0.0,1.0,0.0,for DuBose Porter's gubernatorial campaign,say fought billion cut public educ sinc,"[0.468, 0.532, 0.0, -0.5267]",0,-0.5267
3117,12505.json,barely-true,American colleges amount to a cartel.,education,paul-ryan,U.S. Representative,Wisconsin,republican,19.0,6.0,16.0,14.0,2.0,a tweet,american college amount cartel,"[0.0, 1.0, 0.0, 0.0]",0,0.0
3148,1600.json,true,"In Texas, schools do not even have to teach sex education.",education,pat-carlson,Texas Eagle Forum former president,Texas,republican,0.0,0.0,0.0,0.0,0.0,an e-mail,text school even teach sex educ,"[0.0, 1.0, 0.0, 0.0]",0,0.0
3174,2026.json,true,Floridas high school graduation rate falls well below the national average.,education,alex-sink,0,Florida,democrat,1.0,2.0,2.0,4.0,0.0,a statement on her campaign website,florida high school graduate rate fall well nation averag,"[0.0, 0.792, 0.208, 0.2732]",0,0.2732
3178,11305.json,false,Annexation would lead to overcrowding at Decaturs city schools.,education,internet-commenters,0,Wisconsin,none,0.0,2.0,0.0,0.0,0.0,comments on various local blogs,annex would lead overcrowd debater citi school,"[0.0, 1.0, 0.0, 0.0]",0,0.0
3195,10287.json,true,"Thirty-eight states -- Georgia not included -- have appointed, rather than elected, state school superintendents.",education,mike-dudgeon,Legislator,Georgia,republican,0.0,0.0,0.0,0.0,0.0,newspaper article,thirty eight state georgia includ appoint rather elect state school superintend,"[0.0, 1.0, 0.0, 0.0]",0,0.0
3216,3918.json,false,"For a young man or woman who is entering the ninth grade in Newark this year, they have a 29 percent graduation rate.",education,chris-christie,Governor of New Jersey,New Jersey,republican,10.0,17.0,27.0,19.0,8.0,a speech at the Harvard Graduate School of Education,young man woman enter ninth grade newark year percent graduate rate,"[0.0, 1.0, 0.0, 0.0]",0,0.0
3231,4417.json,barely-true,The academic achievements of our student-athletes are mentioned in the same breath and spirit as Notre Dame and Stanford.,education,donna-shalala,University of Miami president,Florida,none,1.0,0.0,0.0,0.0,0.0,a video statement,academy achiev student athlete mention breath spirit not dame stanford,"[0.0, 0.841, 0.159, 0.1779]",0,0.1779
3238,10245.json,mostly-true,"The Orange County, Florida, school board voted to make it impossible for a student to receive a grade below 50.",education,jeb-bush,0,Florida,republican,17.0,5.0,17.0,24.0,2.0,a speech,orang county florida school board vote make impose student receiv grade,"[0.18, 0.82, 0.0, -0.296]",0,-0.296
3254,5323.json,mostly-true,Nationwide tuition at public universities is up almost 300 percent ... in the last 20 years.,education,joe-biden,U.S. senator,Delaware,democrat,11.0,10.0,21.0,16.0,4.0,a speech in Tallahassee,nationwide tuition public univers almost percent last year,"[0.0, 1.0, 0.0, 0.0]",0,0.0
3304,9733.json,false,Africa is spending the highest percentage of their GDP on education of any part of the world.,education,michael-bloomberg,0,New York,independent,0.0,2.0,2.0,3.0,0.0,"comments on CBS' ""Face the Nation""",africa spend highest percentage gdp educ part world,"[0.0, 1.0, 0.0, 0.0]",0,0.0
3350,4183.json,true,The state of Georgia is near the bottom among states for SAT scores and graduation rates.,education,chip-rogers,State Senator,Georgia,republican,1.0,0.0,1.0,1.0,0.0,Town hall meeting,state georgia near bottom among state sat score graduate rate,"[0.0, 1.0, 0.0, 0.0]",0,0.0
3489,2630.json,barely-true,We refused to balance the budget on the backs of our children.,education,casey-cagle,0,0,republican,1.0,0.0,0.0,2.0,0.0,a television ad,refus balance budget back child,"[0.0, 1.0, 0.0, 0.0]",0,0.0
3500,11932.json,half-true,Two-thirds of our kids cant read at grade level.,education,marco-rubio,U.S. Senator,Florida,republican,33.0,24.0,32.0,35.0,5.0,a column posted on Medium.com,two third kid cant read grade level,"[0.0, 1.0, 0.0, 0.0]",0,0.0
3516,10884.json,half-true,Two of the top three (rated) public high schools in Wisconsin Ronald Reagan College Prep and Rufus King International are MPS schools.,education,david-bowen,Member of state Assembly,Wisconsin,democrat,0.0,0.0,1.0,0.0,0.0,a news release,two top three rate public high school wisconsin ronald reagan college prep rufus king intern mp school,"[0.0, 0.899, 0.101, 0.2023]",0,0.2023
