,clean,sentiment,polarity
128,barack hussein obama forc court accept islam sharia law domes dispute,-0.10000000149011612,0
129,percent murder crime commit gun peopl actual legal purchas gun,-0.5,-1
130,neighborhood school close,0.0,0
131,told gay organ massachusetts would stronger adhoc special right even ted kennedy,0.0,0
132,year speaker florida hous consist offer leaner budget governor offer,-0.10000000149011612,0
133,already almost halfway goal creat new job seven year,0.30000001192092896,1
134,say u supreme court found social secur guarantee,0.699999988079071,1
135,saysmichael bonnet want close guantanamo bay prisoned bring terrorist right colorado,-0.4000000059604645,-1
136,gorgonian amaze cost way fight abort free polit donate,-0.20000000298023224,0
137,presid said he go bring syrian iraqi refuge country,0.0,0
138,research show vast major arrive immigra today come believ govern source prosper that support,-0.20000000298023224,0
139,newt gingrich immigra plan offer new doorway amnesty,0.20000000298023224,0
140,mr capris career politician never work privat sector,-0.5,-1
141,rode island percent worker use state temporary disable insur program year new jersey rate percent,-0.30000001192092896,-1
142,year spend social secur feder health care interest debt exceed tax revenu,0.30000001192092896,1
143,presid obama took money wall street campaign anybody ever,-0.20000000298023224,0
144,donald trump said nuclear prolife ok,0.10000000149011612,0
145,hillary clinton taken lobbyist,0.0,0
146,barack obama never even work busi,-0.8999999761581421,-1
147,say arizona immigra law expressly ban racial profil,-0.10000000149011612,0
148,say gov rick peri beg feder govern send coast guard patrol two lake u mexico border,0.10000000149011612,0
149,va veteran die wait care,0.20000000298023224,0
150,spend percent economi govern,0.0,0
151,rob cornell support privat medical,0.10000000149011612,0
152,dan branch tri expand third trimmest abort text,-0.6000000238418579,-1
153,democrat made steady progress creat job improv school,0.800000011920929,1
154,michigan massachusetts rais bottle deposit could longer afford program exempt high profit,-0.4000000059604645,-1
155,whether like admit half general revenu go educ,0.0,0
156,im one who fought develop drain everglades,0.10000000149011612,0
157,say ron johnson call social secur ponzi scheme want privat program,-0.10000000149011612,0
158,state citi type police pass refer north carolina hous bill,0.0,0
159,climat chang direct relat growth terror,0.20000000298023224,0
160,job bill includ presid obama tax soup kitchen,0.0,0
161,say obama administr spent taxpayer dollar elect car finland windmill china,-0.4000000059604645,-1
162,sarah mayor pasilla tri fire high respect citi librarian librarian refus consid remov library book sarah want remov,-0.4000000059604645,-1
163,milwaukee approv reduc maximum forfeiture marijuana possess citi would differ bicycle violate higher forfeiture,-0.4000000059604645,-1
164,iller immigra five year ago,0.10000000149011612,0
165,say rick peri wrote letter support hillarycar,0.10000000149011612,0
166,u patent trademark offic receiv zero complaint washington redskin name,0.8999999761581421,1
167,presid health care propos caus american premium increas decrease hundi million peopl lose current insur coverage,-0.4000000059604645,-1
168,mexican immigra law abid u citizen statist,0.0,0
169,say chris christi veto job packag bill,0.20000000298023224,0
170,already american job solar industry coal mine,0.20000000298023224,0
171,say illinois gubernatorial candid bill braid first priority win primary sponsor bill would mass ethan shelter dog cat gas chamber,0.30000001192092896,1
172,barack obama economi that worsen sinc he presid unit state,-0.800000011920929,-1
173,romney fail take action sanctuary citi massachusetts,0.0,0
174,say new jersey near job pre recess peak gov chris christi new jersey trail rest america come unemploy connect month,0.30000001192092896,1
175,say thomas eric duncan came unit state lev temperature,0.0,0
176,afghanistan longer foreign land conduct war nation histori,0.20000000298023224,0
177,gas price gone sinc obama took offic,-0.5,-1
178,webster sponsor bill creat form marriage would trap woman abus relationship,-0.30000001192092896,-1
179,say judg get better benefit lower cost everybody els state,0.30000001192092896,1
180,lot casino across country gone bankrupt,-0.699999988079071,-1
181,small busi creat percent job america,0.0,0
182,senior coverage medical advantage give share health care reform,0.10000000149011612,0
183,school kid arrest florida make florida nation leader area,-0.20000000298023224,0
184,text country economi would rank world,0.20000000298023224,0
185,oil rig oper unit state rest world combin,0.20000000298023224,0
186,payday lender profit poor charg plus percent interest,-0.800000011920929,-1
187,social secur trust fund sound without anoth done would function well even time chang could pay percent benefit peopl earn,-0.20000000298023224,0
188,commit voter take serious income ohio break pledge vote ted strickland incom tax hike defeat sound tuesday,0.10000000149011612,0
189,obama administr shut amber alert program govern shutdown,-0.30000001192092896,-1
190,republican percent muslim vote,0.0,0
191,w e see america prison popul explode america greater percentage peopl behind bar nation world,0.6000000238418579,1
192,say hear rep gabriel afford suggest gen david petrels army put emphasis le environment damag method like stab club enemy forc order minim carbon output,-0.20000000298023224,0
193,every singl one republican sent block rais minimum wage receiv cost live adjust januari,-0.4000000059604645,-1
194,text name new male babi mani vote one day jose,0.30000001192092896,1
195,marco rubio vote author presid obama strike syria assay use chemin weapon peopl,-0.699999988079071,-1
196,cash clunker program got go local junkyard got tow hous go get,0.10000000149011612,0
197,one republican gut recon climat chang real,0.699999988079071,1
198,peopl work longer hour lower wage almost new incom go top percent,0.10000000149011612,0
199,david dewhurst record promot incom tax,0.20000000298023224,0
200,point pleasant beach beach privat own oper busi jenkins,0.800000011920929,1
201,past year percent american chang mind war afghanistan conclude,0.10000000149011612,0
202,last five year peopl kill along u mexico border,0.0,0
203,state ohio one lowest unemploy rate nation right lead pack term job creation,0.20000000298023224,0
204,say obama health reform law deny million access afford insur,-0.6000000238418579,-1
205,say hb haunt move need one iota north carolina economi,-0.6000000238418579,-1
206,close feder prison popul consist iller immigra,0.0,0
207,say rick scott call educ core function state,0.6000000238418579,1
208,famili research council accord govern agency terrorist group,-0.20000000298023224,0
209,say rep jim weiner propos bill take away health care oregon child,0.0,0
210,say elect former gov tom mean largest win margin gubernatorial candid jersey histori,0.699999988079071,1
211,obamacare biggest tax increas american histori,0.4000000059604645,1
212,said barack obama ready command chief,-0.20000000298023224,0
213,median male worker country seen rais inflate adjust year basic,0.10000000149011612,0
214,milwaukee mayor tom barrett held line property tax,0.10000000149011612,0
215,im member hous repres rais campaign fund last elect small contribut le,0.0,0
216,unlike gridlock washington percent bill pass general assembly bipartisan support,0.0,0
217,josh mandel lie record rate ohio invest fund improv,-0.30000001192092896,-1
218,rick scott took famili leas land drill tri hide,0.699999988079071,1
219,money possibl leas ohio turnpike would use,0.0,0
220,begin last dead america budget surplus billion time took offic one year deficit trillion project deficit trillion next dead,0.30000001192092896,1
221,presid comin confirm four defeat,0.4000000059604645,1
222,u taxpayer forc fund final abdul auf trip middle east,-0.10000000149011612,0
223,milwaukee county taxpayer paid settle lawsuit decis sheriff david clark jr use untrain correct offic rather deputy patrol lakefront,-0.699999988079071,-1
224,justic depart police fbi director game come discuss detail feder investig close elect,-0.20000000298023224,0
225,democrat presid consider effect creat privat sector job,0.5,1
226,joe biden vote first gulf war oppos surg want parti iraq,0.30000001192092896,1
227,say rush limbaugh made clear hed rather see country fail presid barack obama succeed,-0.6000000238418579,-1
228,one percent american peopl make percent incom america want way george bush became presid,-0.30000001192092896,-1
229,military recruit went harvard every singl day throughout time kagan,-0.10000000149011612,0
230,say rick peri plan text cut fund public school,0.20000000298023224,0
231,say david perdu want abolish u depart educ would cost georgia school billion year elimi million student loan,-0.699999988079071,-1
232,paul ryan budget propos would privat medical,0.20000000298023224,0
233,high school student arrest campus twice like graduate four time le like graduate they appear court,0.10000000149011612,0
234,unit state imprison nation world,0.20000000298023224,0
235,say marco rubio one open border,0.0,0
236,year feder spend educ grown percent test score remain flat,0.10000000149011612,0
237,say cut medical affect peopl already paid paid,-0.20000000298023224,0
238,david alameda give thousand dollar support republican parti candid includ john corny greg abbott,0.0,0
239,american healthcare system burn percent nation gdp nobody els close,-0.5,-1
240,provid port mile closer euro eastern port,0.20000000298023224,0
241,say need photo id purchas sudan text,0.0,0
242,twenty percent hous portland pearl district afford,0.0,0
243,say allow patrol tax holiday expire would end cost anoth estim job,-0.4000000059604645,-1
244,hillary clinton support nafta german china trade pennsylvania lost thousand job,-0.6000000238418579,-1
245,numer study shown call right work law generat job econom growth,0.6000000238418579,1
246,obama budget plan would take nation debt percent gross nation product histor percent,-0.20000000298023224,0
247,say hillary clinton said veteran affair scandal eager said satisfy go,0.30000001192092896,1
248,driven health care cost lowest they year,0.0,0
249,presid barack obama init respons heard christmas underwear bomber say act idol extremist,-0.6000000238418579,-1
250,say sen sheared brown admit billion stimulus law fail specif attack republican want lower american tax claim stimulus bill didn enough lower tax,-0.5,-1
251,lot peopl got rich pay top tax rate percent,-0.10000000149011612,0
252,charleston c shootershould never given gun univers background check fast enough,0.10000000149011612,0
253,sixth five percent iraqi peopl say okay shoot american soldier,-0.10000000149011612,0
254,twelve judg thrown legal challeng health care law reject notion health care law unconstitut,0.30000001192092896,1
255,say gov chris christi propos reduc state incom tax would second tax cut rich governor two year,0.20000000298023224,0
256,warren buffett still support,0.0,0
257,say george mieux one two republican vote presid barack obama job bill,-0.30000001192092896,-1
258,precinct allen west patrick murphy recount resist voter guatemalan community tall show vote,0.20000000298023224,0
259,peopl unemploy took offic unemploy,0.0,0
260,one person kathleen sebelius go determin whether year old lung patient sarah murnaghan would live die,0.5,1
261,ron klein repeat vote favor amnesty iller immigra,0.0,0
262,local law enforce access obamacare data hub treasury trove person info,0.0,0
263,tenure mayor saw houston crime rate drop lowest level year,0.30000001192092896,1
264,barack obama columbia univers id say foreign student went barrio sonoro,0.0,0
265,john mccain one richest peopl sent fill millionaire say slut hous crisi peopl get second job skip vacant,-0.6000000238418579,-1
266,terri mcauliff want rais tax pay infinite promis,-0.30000001192092896,-1
267,hypocrisy clinton founda top male staff made averag top femal staff made,-0.6000000238418579,-1
268,sinc feder violence woman act adopt case domes violence fallen percent,-0.6000000238418579,-1
269,say feder law enforce offic cut question christmas day underwear bomber give miranda warn minut question,-0.30000001192092896,-1
270,legal iller immigra,0.20000000298023224,0
271,near half pregnant u intend,-0.10000000149011612,0
272,borrow saudi money saudi oil result depend debt,0.0,0
273,say home sale around osteo lake right anyone welcom buy,0.4000000059604645,1
274,sinc presid became presid lost million job privat sector know who done ok who complain today public sector weve gain public sector job,0.0,0
275,top percent pay half entire revenu country,-0.4000000059604645,-1
276,differ previous four year thing head brought last four year total save property tax money,0.0,0
277,chris christi increas tax anyone,0.0,0
278,unit state system grower dairy bring workforce legal u,0.30000001192092896,1
279,say never said would keep educ fund,-0.20000000298023224,0
280,sinc college tuition nationwide gone cometh like four time rate inflate,-0.10000000149011612,0
281,say sen rob portman said would respons cut medical,-0.30000001192092896,-1
282,deal school construct project alway came budget,0.10000000149011612,0
283,palin support right wing extremist pat buchanan presid,0.10000000149011612,0
284,say sen sheared brown vote block american energy product increas energy tax,0.10000000149011612,0
285,say jeans shaheed vote measure would amount new nation energy tax,0.10000000149011612,0
286,washington c strictest gun law country pass violence skyrocket,0.0,0
287,seven presid barack obama republican democrat tri expand health care american,0.20000000298023224,0
288,fight move toughen penalty workplace gender discrimin state sen glenn gaothan said didn believ woman belong workplace belong home cook clean babi,-0.10000000149011612,0
289,put billion revenu rais year buffett rule infrastructure could creat infrastructure job,0.5,1
290,proper collect noun group baboon believ congress,0.10000000149011612,0
291,repeat said mani predators loan made mortgage system target african american latino community,0.30000001192092896,1
292,start decent million job creat text period rest country lost job,0.4000000059604645,1
293,health reform legis washington pass last year made difficult hire increas cost employ,-0.20000000298023224,0
294,co congressional budget offic said obamacare kill job,-0.4000000059604645,-1
295,thompson vote cap damag almost anoth would make legal system fairer,0.20000000298023224,0
296,text fiscal year money reserve state combin,0.10000000149011612,0
297,use strategy petroleum reserve,0.0,0
298,immigra fertile,0.0,0
299,propos educ chang cut one teacher pay,-0.20000000298023224,0
300,number uninsured peopl massachusetts mandat pass,0.10000000149011612,0
301,firearm homicide percent sinc text pass conceal gun permit law,-0.10000000149011612,0
302,upward percent woman seek abort decid abort see ultrasound,-0.8999999761581421,-1
303,spend le defens today gdp time sinc pearl harbor,0.0,0
304,got rid incom tax today much revenu year ago,0.0,0
305,say scott walker want ban common form birth control includ pill,0.10000000149011612,0
306,jason hander support obama plan bring remain suspect terrorist u soil,-0.10000000149011612,0
307,shelby county donate im sorry gave school citi memphis,-0.30000001192092896,-1
308,top u intelli offici toldeveri member congress includ presid attack serious way threat man syria iraq,-0.4000000059604645,-1
309,suburb inand former resid atlanta hous project absolut,0.0,0
310,juli mitt romney help locat miss teenage daughter partner bain capit,0.20000000298023224,0
311,blame mike minty nancy pelosi second straight year cost live increas social secur beneficiary,0.10000000149011612,0
312,govern go right get bank account health care bill make transfer without know,0.10000000149011612,0
313,mecha place shut internet privat,0.0,0
314,american peopl support defund obamacare oppos shut govern,0.0,0
315,report gop insist chang social secur part fiscalcliff fans btw chang support barackobama,0.10000000149011612,0
316,nobody play clip presid obama say bring knife fight well bring gun,-0.6000000238418579,-1
317,peopl rode island dont want sex marriage,-0.30000001192092896,-1
318,rep paul ryan medical plan line pocket privat insur company increas cost senior reduc deficit,0.30000001192092896,1
319,year congress consi mack iv miss almost half vote,0.0,0
320,kid drop high school go college start career,0.20000000298023224,0
321,even old gen eisenhow salut military personnel presid,0.10000000149011612,0
322,wisconsin governor cut perquisite much plan would still leav worker better privat sector counterpart,0.0,0
323,cant get airplane peopl list abl buy gun,-0.5,-1
324,percent republican support afford care act,0.0,0
325,every spent afterschool program save almost crime cost line,0.10000000149011612,0
326,feder govern trillion cash flow pay bill wont default,0.0,0
327,say alex sink fail florida hometown use predators lend practic,0.5,1
328,percent small mid size bank loan money small busi wipe sinc dodd frank pass,-0.10000000149011612,0
329,cant check library book without photo id,-0.5,-1
330,say starbucks took christmas brand new cup,0.20000000298023224,0
331,atmosphere condit could push footbal pressur approxi one half pound per squad inch,-0.10000000149011612,0
332,hillary clinton support limit abort demand moment birth includ partial birth abort taxpayer fund,-0.800000011920929,-1
333,legis clear georgia hous child legal refuge could obtain state scholarship attend privat school,0.699999988079071,1
334,went lose million job last six month bush administr ad almost privat sector job first six month year,-0.5,-1
335,star ohio fund receiv highest possibl credit rate one fund receiv,0.0,0
336,taxpayer hook le third propos new atlanta falcon stadium fund repaid money come outside,0.0,0
337,last month busi creat million job last year creat job sinc,0.5,1
338,every year million leav missouri lone star state,0.20000000298023224,0
339,college loan loan unit state refin interest rate go,0.0,0
340,hous repres never pass resolute disapprove condemn member behavior,-0.699999988079071,-1
341,younger competitor entire immigra,0.0,0
342,recent intern report show unit state near bottom among industry nation k academy achiev,0.0,0
343,say million peopl country cant find full time job million cant see doctor theyr sick million peopl need govern help feed million famili owe valu home,-0.699999988079071,-1
344,police mistake clinton made got u larg degre situate today mass scarcer,-0.30000001192092896,-1
345,say rais averag famili incom percent tenure arkansas governor,0.4000000059604645,1
346,tri give u million build high speed train go mile hour,0.4000000059604645,1
347,say co estim full extend bush tax cut would add million job million job,0.6000000238418579,1
348,presid reagan rais debt cell time george w bush seven time,0.4000000059604645,1
349,accord david cay johnston averag american pay percent incom feder tax richest american pay percent incom feder tax,-0.5,-1
350,young american right theyr cover health insur,0.0,0
351,torpor incom tax account percent feder tax revenu today despit record break profit torpor tax bring le percent,-0.10000000149011612,0
352,last year text creat percent net new job nationwide,-0.20000000298023224,0
353,say two third group target ir scrutiny conserve,0.20000000298023224,0
354,class matric kuumba univers moscow mahout abba one member class ali khamenei that first establish relationship young vladimir putin,0.4000000059604645,1
355,last week text state board educ shoe led rick peri appointed vote remov thomas jefferson social study textbook standard that right thomas jefferson delete list histor figure inspire polit chang,0.20000000298023224,0
356,u sent salary perk bernie top percent still paid percent tax last year,-0.5,-1
357,know pull truth matter start today would take one year one year get troop physic iraq ologist,0.6000000238418579,1
358,richest american increas net wealth billion yet republican budget would requir american contribut one penny deficit reduce,0.5,1
359,say foster mayor rick knifeman effect florida hous repres legis pass hous knifeman name,0.5,1
360,say text routine get lot feder spend pay tax,-0.30000001192092896,-1
361,cell phone number go public month,0.10000000149011612,0
362,say offer million save million save next year contract negotia citi milwaukee,0.20000000298023224,0
363,clackama county commission approv negotia agreement lower county contribut trivet portland milwaukee light rail project million million,0.0,0
364,say text differ felony commit oyster,-0.10000000149011612,0
365,obama administr unwind nation welfare work requir,0.20000000298023224,0
366,elect car sale georgia drop drama sinc tax credit elimi annual register fee impos juli,-0.4000000059604645,-1
367,redskin train camp deal generat million new privat invest citi,0.4000000059604645,1
368,gop budget plan would cut near million job,0.10000000149011612,0
369,peopl live country born anytime histori country,0.4000000059604645,1
370,say hillary clinton defend syria presid assay possibl reform start country civil war,-0.10000000149011612,0
371,postal servic financi loss result law drain billion year post offic revenu postal servic forc overpay billion feder account,-0.8999999761581421,-1
372,mani six feder depart budget bill delay opposit amend would ban consider battle flag sale feder build gift shop,0.30000001192092896,1
373,shes vote tax increas hurt middle class small busi,0.0,0
374,hous repres differ job bill pass almost bipartisan,0.10000000149011612,0
375,sheila jackson lee text said hey drink white age been time die let next generat spot planet,0.4000000059604645,1
376,republican small busi tax cut bill spend million better google search job creation,0.10000000149011612,0
377,state law would allow oper iron ore mine northern wisconsin fill pristine stream pond mine wast,-0.20000000298023224,0
378,america one highest tax nation world,0.30000001192092896,1
379,black america country itd th wealthiest nation world,0.5,1
380,sinc republican took elect graduate rate wisconsin gone percent percent black graduate rate gone percent percent latino graduate rate gone percent percent,-0.4000000059604645,-1
381,estim near percent gun sold america sold privat unlicensed seller either onlin gun show,-0.699999988079071,-1
382,deadliest year war afghanistan american forc,0.10000000149011612,0
383,florida teacher already paid nation averag,0.0,0
384,sinc rick peri became governor text gone th country th popul graduate high school,0.10000000149011612,0
385,say amanda fritz manag le percent citi oper,0.0,0
386,streetcar project plan mayor tom barrett would style trolley,0.30000001192092896,1
387,american last year doubl amount money spend per child educ result gotten wors better,-0.5,-1
388,poll show florida dont want repeal afford care act,-0.10000000149011612,0
389,say congressman bill parcel vote remov public option afford health care act,0.10000000149011612,0
390,lawman paid season effort first time take lead draw border two would citi,0.0,0
391,greg abbott surro refer woman victim rape incest though somehow confront minor issu,-0.800000011920929,-1
392,offshore drill energy,0.20000000298023224,0
393,propos medic marijuana amend florida dont get refill get fore,-0.6000000238418579,-1
394,data store microchip would implant major peopl opt becom cover public health care option,-0.30000001192092896,-1
395,enact right carry act would amount expand right sex offend terrorist child predate abus carry conceal weapon across state line,-0.800000011920929,-1
396,miss vote sinc,0.0,0
397,say treasury offic save million manag cost oversight public invest,-0.4000000059604645,-1
398,say georgia send state money per child state charter school budget cut appli charter school,-0.30000001192092896,-1
399,jog flora want impos munici incom tax,0.20000000298023224,0
400,supreme court cant overrun two branches govern,0.6000000238418579,1
401,rough ri crimini record,-0.20000000298023224,0
402,nathan deal cut hope scholarship program liter georgian abl go college get technic train bad need rais know give chanc good job,-0.10000000149011612,0
403,governor arkansas cut tax fee almost time save taxpayer almost million left surplus near million,-0.30000001192092896,-1
404,havent rais tax time ive governor new jersey,0.30000001192092896,1
405,massachusetts public school teach kid young kindergarten gay marriage,0.4000000059604645,1
406,probably one four five best known american world,0.8999999761581421,1
407,accept legal immigra ever histori unit state,0.4000000059604645,1
408,congress behind scope reach spi apparatus explicit reject amend call disclosure,-0.10000000149011612,0
409,six peopl florida die result expand medicaid every day,0.10000000149011612,0
410,gov magi hassan budget propos rais tax small busi increas tax fee million,0.10000000149011612,0
411,washington would politician spend million teach moroccan make pottery,0.0,0
412,hillary clinton start percent country,0.0,0
413,saysrand paula put budget cut military half,-0.10000000149011612,0
414,group receiv foreign money spend huge sum influence american elect,0.20000000298023224,0
415,say legis cut mean text spend averag le per student,0.30000001192092896,1
416,current rate presid obama ad debt unit state america end first term previous presid combin,-0.20000000298023224,0
417,know saudi arabia start al maida,0.0,0
418,say williamson county attorney jana duty never prosecute singl adult felony case,-0.800000011920929,-1
419,fundraise number grassroot support unlatch,0.0,0
420,issu make iller u negotia enough firefight job,0.4000000059604645,1
