,raw_text,clean,label
81,"‘Yes, But How Did He Die?’ Ghoulish American Public Asks Of Recent Celebrity Death While Rubbing Delicate, Bony Han… ",yes die ghoulish american public ask recent celebr death rub delic boni han,-1
82,John Bolton Insists Iran Likely Harboring Dangerous Terrorist Osama Bin Laden ,john bolton insist iran like harbor danger terrorist osama bin laden,-1
83,Could This Be The Last Season We See Rob Gronkowski Fully Assembled In A Patriots Uniform? ,could last season see rob gronkowski fulli assembl patriot uniform,-1
84,"‘Don’t Make Me Regret This,’ Mueller Tells Rick Gates Before Uncuffing Him To Work On Investigation Together… ",make regret mueller tell rick gate uncuf work investig togeth,-1
85,Pelosi Asks Trump To Delay State of the Union During Shutdown #WhatDoYouThink? ,pelosi ask trump delay state union shutdown whatdoyouthink,-1
86,Poll Finds 100% Of Americans Blame Shutdown Entirely On Colorado Representative Scott Tipton ,poll find american blame shutdown entir colorado repres scott tipton,-1
87,Karen Pence Returns To Work As Part-Time Nude Art Model ,karen penni return work part time nude art model,-1
88,Ames Executives Scrambling After New Shovel Design Leaks ,ame execut scrambl new shovel design leak,-1
89,Zamboni Jams Up After Running Over Large Patch Of Loose Teeth ,zamboni jam run larg patch loos teeth,-1
90,This The Fuck Harness Sex Shop Worker Has At Home ,fuck har sex shop worker home,-1
91,5 Things To Know About ‘Glass’ ,thing know glass,-1
92,Man Nervous About Telling Date He Has Her Kids ,man nervous tell date kid,-1
93,Netflix Raising Prices #WhatDoYouThink? ,netflix rais price whatdoyouthink,-1
94,Study: People Far Away From You Not Actually Smaller ,studi peopl far away actual smaller,-1
95,Thousands Of Eggs Pushed Out Of Nests After Birds Legalize Abortion ,thousand egg push nest bird legal abort,-1
96,Empty Yogurt Cup Completes Tableau Of Used Food Containers On Single Man’s Windowsill ,empti yogurt cup complet tableau use food contain singl man windowsil,-1
97,Biological Life Regrets Waiting 2.3 Billion Years To Try Sex ,biolog life regret wait billion year tri sex,-1
98,Researchers: Quality Of Sleep May Be Affected By Abandoning Family In 1994 ,research qualiti sleep may affect abandon famili,-1
99,"For the latest from the world’s most unstoppable media juggernaut, visit ",latest world unstopp medium juggernaut visit,-1
100,Man Tries Using Pink 6-Pound Bowling Ball To Great Amusement ,man tri use pink pound bowl ball great amus,-1
101,"I’ve driven past this place before, but this is the first time I’ve ever had the chance to try it. ",driven past place first time ever chanc tri,-1
102,Nation Admits It Always A Little Bored By Whole Jimmy Hoffa Thing ,nation admit alway littl bore whole jimmi hoffa thing,-1
103,No One In Gang Has Heart To Tell Police Informant His Cover's Blown ,one gang heart tell polic inform cover blown,-1
104,Report: There No Way Of Knowing Whether The Vague Award Mom Won At Work A Big Deal Or What ,report way know whether vagu award mom work big deal,-1
105,U.K. Parliament Rejects Theresa May’s Brexit Deal #WhatDoYouThink? ,u k parliament reject theresa may brexit deal whatdoyouthink,-1
106,"Woman Rushes To Hide Fragile Objects, Cover Up Sharp Corners On Tables Before Boyfriend Comes Over… ",woman rush hide fragil object cover sharp corner tabl boyfriend come,-1
107,Pretentious Woman Refers To Slam Piece As ‘Partner’ ,pretenti woman refer slam piec partner,-1
108,New Hampshire Legislature Passes Bill Naming Fentanyl State Opiate ,new hampshir legislatur pass bill name fentanyl state opiat,-1
109,Pros And Cons Of Pet Insurance ,pro con pet insur,-1
110,Photo Of Egg Breaks World Record For Most-Liked Instagram Post #WhatDoYouThink? ,photo egg break world record like instagram post whatdoyouthink,-1
111,Veteran Brita Filter’s Tour Of Duty Extended Another 3 Months ,veteran brita filter tour duti extend anoth month,-1
112,Lifelong Boise Resident Realizes He's Never Been To Morrison Knudsen Nature Center ,lifelong bois resid realiz never morrison knudsen natur center,-1
113,Report: Average Person Spends 27% Of Lifetime In The Way ,report averag person spend lifetim way,-1
114,"Believe me, those 12 chairs will definitely come in handy the next time some unexpected guests stop by for game ni… 
Maximum-Security Prison Houses State’s Most Hardened, Violent Guards 
National News Highlights 
Area Theater Has Strict Rule Against Bringing In Outside Movies 
To see more unmatched reporting, visit 
55-Year-Old Guy Dominating YMCA Pickup Basketball Game 
Fed-Up EU Rejects United Kingdom, Gives British 30 Days To Vacate Europe 
GOP Leaders Condemn Steve King For White Supremacy Comment #WhatDoYouThink? 
Government Shutdowns By The Numbers 
Prego Marketing New Marinara As ‘The Premiere Sauce For The #MeToo Moment’ 
NBA Ref Petrified After Seeing Depiction Of Own Death While Looking Under Replay Hood 
Viagra Announces Real Medicine That Gave Customers Erections Was Confidence All Along 
Man Crouched Inside Of Robotic Welding Arm Terrified Robot Will Eventually Take His Job 
Poll Shows Increasing Number Of Voters Blame Founding Fathers For Starting America 
FBI Opened Inquiry Into Whether Trump Working For Russians #WhatDoYouThink? 
William Barr Assures Senate He Will Let Donald Trump Finish His Job Without Any Interference 
Mom Wants To Know If You Could Use Grandma’s Antique, 12-Person Dining Room Table In Your Studio Apartment… 
Chuck Schumer Honestly Pretty Amazed He Hasn’t Caved Yet 
Your Horoscopes — Week Of January 15, 2019 
Man Removing Sweatshirt Offers Coworkers Tantalizing Glimpse Of Bare Midriff 
Biologists Announce They’re All Done With Rodents 
New Office Manager Provides Terrifying Glimpse Into Plans For Regime By Placing New Collection Of Teas In Drawer… 
Bengal Tigers’ Habitat Down To Studio Apartment In Jaipur, India 
This is awesome. I’ve been looking forward to this ever since season one."" ",believ chair definit come handi next time unexpect guest stop game ni maximum secur prison hous state harden violent guard nation news highlight area theater strict rule bring outsid movi see unmatch report visit year old guy domin ymca pickup basketbal game fed eu reject unit kingdom give british day vacat europ gop leader condemn steve king white supremaci comment whatdoyouthink govern shutdown number prego market new marinara premier sauc metoo moment nba ref petrifi see depict death look replay hood viagra announc real medicin gave custom erect confid along man crouch insid robot weld arm terrifi robot eventu take job poll show increas number voter blame found father start america fbi open inquiri whether trump work russian whatdoyouthink william barr assur senat let donald trump finish job without interfer mom want know could use grandma antiqu person dine room tabl studio apart chuck schumer honest pretti amaz cave yet horoscop week januari man remov sweatshirt offer cowork tantal glimps bare midriff biologist announc done rodent new offic manag provid terrifi glimps plan regim place new collect tea drawer bengal tiger habitat studio apart jaipur india awesom look forward ever sinc season one,-1
115,Man Has Been Meaning To Catch Up On Whole Of Human Artistic Endeavor ,man mean catch whole human artist endeavor,-1
116,"‘I Want To Be With Someone Else,’ Says Woman Who Must Think 3-Time Hyundai Sales Leaders Grow On Trees… ",want someon els say woman must think time hyundai sale leader grow tree,-1
117,Frustrated Employee No Longer Even Trying To Hide GRE Study Books ,frustrat employe longer even tri hide gre studi book,-1
118,Poll: Most Americans Blame Trump For Shutdown #WhatDoYouThink? ,poll american blame trump shutdown whatdoyouthink,-1
119,"We dunces stand on our roof gutters today, fully prepared to jump 20 feet to the ground and straight into a mounta… 
Christmas Really Over, Man Realizes As iPhone Game Switches Out Holiday Icon 
‘Game Of Thrones’ Fans Excited To Hear Series Will Finally Be Over 
GOP Strips Steve King Of Post On Powerful House Segregation Committee 
Furloughed Federal Employee Starts Online Search For New Government 
Advisors Instruct William Barr To Avoid Referring To Trump As ‘My Liege’ During Confirmation Hearing… 
R&B Singer Guesses She’ll Just Keep Moaning Into Mic Until Song Is Over 
Nation’s Idiots Announce Plans To Jump Off Their Roofs Into A Pile Of Snow And Break Their Fucking Legs… 
Tinder Announces App Will No Longer Match Users Solely With Distant Relatives 
World Wildlife Fund Quickly Backtracks After Announcing Panda Ears Are Delicious 
‘Seek Funding’ Step Added To Scientific Method 
Report: Some Small Town Enjoying Last Days Of Anonymity Before Harrowing Tragedy 
Child Entertained For 5 Minutes By Plastic Toy That Will Take 1,000 Years To Biodegrade 
Report: Majority Of UFO Abductions Committed By Alien That Person Knows 
Siblings Patiently Waiting For Day They’ll Be Close To Each Other 
Severe Allergic Reaction Causes Florida To Swell Up To Twice Normal Size 
Father Apologizes For Taking Out Anger On Wrong Son 
Man Updates Little Monologue Recited When Extended Relatives Ask How He’s Doing 
Depressed Crab Stays Buried Under Sand Until 2 P.M. 
Pope Francis Concerned About Infection From Holy Spirit Bite 
Jellyfish Can't Wait To Fuck Up Honeymoon 
God Seeking To Crack Down On Souls Smuggling Drugs Into Heaven 
Lofty Ambitions To Shovel Entire Width Of Driveway Scaled Back To Only Shoveling Thin Path For Car… 
‘Just Take It Slow, And You’ll Be Fine,’ Drunk Driver Assures Self While Speeding Away In Stolen Police Car… 
75% Of Party Trolley Defaulting On Student Loans 
Child’s Favorite Restaurant Also Dad’s Favorite Bar 
Man Suddenly Realizes He Was Duped By Commercial’s Romanticized Vision Of Canned Beans 
Goody Introduces New Line Of Governess Hairbrushes For Raking Across The Scalps Of Insolent Little Girls… 
Campus Tour Guide Reminds Students At Each Stop They Have To Get In First 
Family Lets Cars Come Inside House During Snowstorm 
Kid With Rough Home Life Gives Mickey Extra Long Hug 
Aquarium Unveils 'Floating Carcasses Of The Pacific' Exhibit 
Area Man Pretty Shaken Up After Running Into Casual Acquaintance At CVS 
Remington Debuts New Split Barrel Murder-Suicide Shotgun 
Report: Nation’s Ditches Overflowing With Children Of Worried Parents 
Backstory Probably Explains Why Sports Bar Has Orioles, Lakers, Bears Flags 
Health Scare Prompts Man To Start Overeating Healthier 
New Roommate Bestows Apartment With Unexpected Windfall Of End Tables 
Couple Puts Handful Of Items On Registry That Loser Family Members Can Afford 
For more world-renowned reportage, visit 
Second-Grader In Gym Class Fucking Amazing At Pull-Ups 
Greatest Country In World Unable To Keep William H. Gross Stamp Gallery Open 
Responsible Man Sets Aside Small Portion Of Every Paycheck For Bank To Gamble With 
Sandwich Previously Thought Incapable Of Looking More Depressing Flattened In Backpack 
Beauty Industry Exec Keeps Photo Of Crying 15-Year-Old Girl On Desk To Remind Himself Why He Does This… 
Ethan Hawke’s Body Found Dumped In Laurel Canyon As 2019 Oscar Race Heats Up 
Scientists Theorize Sun Could Support Fire-Based Life 
Never-Before-Heard Buzzword Flying Around Office Can’t Be Good 
Government Shutdown Forces National Zoo To Turn Off Panda Suicide Cam 
Deloitte Hires Accountant After Noticing Popular Tweets Of Audit Calculations 
Hundreds Of Blind, Pallid Disney Characters Discovered Living In Caves Deep Within Space Mountain… 
Woman’s Primal Instincts Activate To Protect Nearly Finished Glass Of Wine From Approaching Server… 
Married Couple Only Staying Together For Sake Of U.S. Divorce Rate 
Different Waitress Brings Order 
Flu Can’t Wait To Get The Fuck Out Of Area Man’s Body 
Neighborhood Kids Grant Landmark Status To House Where Guy Killed Himself 
Family Moves Elderly Aunt Into Subconscious 
Best Buy Employee Wearing Different Colored Shirt For Some Reason 
Internet Users Demand Less Interactivity 
4 Copy Editors Killed In Ongoing AP Style, Chicago Manual Gang Violence 
U.S. Citizen Resigns After Making Controversial Remark About Country 
Visit to see more from the standard bearer of global journalism. 
Tucker Carlson Unsure Why He In Middle Of 20-Minute Rant Against Croutons 
TSA Guy Circling Stuff On Boarding Pass With Reckless Abandon 
Company President Started Out As Fertilized Embryo 
Decision To Circle Parking Lot Produces Carbon Emission That Finally Does It 
New, Improved Google Maps Lets User Launch Missile At Any Location On Globe 
Nation Excited To See Whatever Bile The Internet Spews Up Today 
Alcoholic’s Plan For Turning Life Around Doesn’t Involve Getting Sober 
Encouragement Of Family, Friends Motivating Man To Keep Struggling Indefinitely 
Glitch In Country Allows Citizens To Temporarily Walk Through Tables 
Papa John’s Now Offering 3-Day Home Delivery 
Factory-Farm-To-Table Restaurant Proudly Serves Locally Tortured Animals 
Greeting Each Other Like Normal Human Beings Impossible For Local Friends 
Mom’s Head Rotates Demonically After Passing Sign For Antique Wicker Furniture 
Study Finds Suspicious Circumstances Still Leading Cause Of Death In Russia 
Nation’s Financial Advisors Recommend Capturing Magical Creature That Grants Wishes 
Nation Gathers Around Area Man Trying To Parallel Park 
Audubon Society Revokes Black-Capped Chickadee’s Membership After Species Fails To Pay Dues 
FDA Recommends At Least 3 Servings Of Foods With Word ‘Fruit’ On Box 
For the latest from the world’s most unstoppable media juggernaut, visit 
CIA Issues Posthumous Apology After New Evidence Clears Osama Bin Laden Of Involvement In 9/11 Attacks… 
Report: It Apparently Time In Conversation To Smile, Laugh 
Biologists Still No Closer To Discovering How Birds Have Sex 
CEO Unveils Bold New Plan To Undo Damage From Last Year’s Bold New Plan 
Intrepid Middle-Class Parents Embark On Daring Search For Mythical Perfect School District 
Francis Ford Coppola Reveals Every ‘Godfather’ Film Took Place In Same Narrative World 
Area Man’s Intelligence Probably Just Too Intimidating For Most Women 
ICE Agents Feeling A Little Hurt That Trump Doesn’t Think They’re Doing Enough To Terrorize Hispanics… 
Trump Supporter Has Few Backup Scapegoats Ready To Go In Case Crackdown On Immigrants Doesn’t Fix Everything… 
Poll Finds Americans Would Be Open To Third Type Of Screwdriver Head 
Report: No One Will Ever Stack Up To Your Eighth-Grade Boyfriend 
Friend Of Bruce Springsteen Has Been Thinking Of Excuses To Avoid Checking Out His Band For 50 Years… 
To see more unmatched reporting, visit 
Styrofoam Coffee Cup From Omaha Excited To Finally See Pacific Ocean 
Japan Grants Suffrage To Female Robots 
Report: Only 2% Of Internet Worth Sitting Through 15-Second Ad 
Stoned Extraterrestrial Stumbles Across Hidden Message After Listening To Golden Record Backwards… 
Convict Sentenced To Generating $80,000 To $100,000 In Profits For Private Prison 
Tumbleweed Of Pubes Rolls Through Desolate Dorm Bathroom 
Your Horoscopes — Week Of January 8, 2019 
Everyone At Consumer Electronics Show Forced To Share Single Surge Protector 
Coworker Who Went To Gym This Morning A Chipper Little Fucker 
Dirty Slush Machine Provides Children In Florida Taste Of Winter 
National Endowment For The Arts Provides $80 Million To Discourage Talentless Hacks 
Serial Killer Admits He’s Lost Track Of Pattern He Was Going For Originally 
Nation Refuses To Read Headline Beyond Words '4-Year-Old Girl Forced To' 
Dad Shares Photo Album Through Never-Before-Seen Website 
For more exemplary journalism, visit 
Backup Spatula Always Ready To Go In Case The Unthinkable Happens 
Friend Who’s Going Through Difficult Emotional Time Carefully Avoided 
FDA Urges Americans To Check Out Weird-Looking Potato 
Confusing Roadside Memorial Features Bicycle, Rotary Telephone, Jug Of Some Kind 
World’s Frogs Unveil 5-Million-Year Plan To Move Up Food Chain 
Report: 250 Million Americans Still Need Guests On Their Podcasts This Week 
Pigeon’s Route Accommodated 
Report: Standing At Work Can Increase Coworkers’ Disdain Up To 70% 
Lifelong Dream No Match For First Brush With Adversity 
Recognizing that you’re wrong means finding fault with yourself instead of others, which is every bit as awful as… ",dunc stand roof gutter today fulli prepar jump foot ground straight mounta christma realli man realiz iphon game switch holiday icon game throne fan excit hear seri final gop strip steve king post power hous segreg committe furlough feder employe start onlin search new govern advisor instruct william barr avoid refer trump lieg confirm hear r b singer guess keep moan mic song nation idiot announc plan jump roof pile snow break fuck leg tinder announc app longer match user sole distant relat world wildlif fund quick backtrack announc panda ear delici seek fund step ad scientif method report small town enjoy last day anonym harrow tragedi child entertain minut plastic toy take year biodegrad report major ufo abduct commit alien person know sibl patient wait day close sever allerg reaction caus florida swell twice normal size father apolog take anger wrong son man updat littl monologu recit extend relat ask depress crab stay buri sand p pope franci concern infect holi spirit bite jellyfish wait fuck honeymoon god seek crack soul smuggl drug heaven lofti ambit shovel entir width driveway scale back shovel thin path car take slow fine drunk driver assur self speed away stolen polic car parti trolley default student loan child favorit restaur also dad favorit bar man sudden realiz dupe commerci romantic vision can bean goodi introduc new line gover hairbrush rake across scalp insol littl girl campus tour guid remind student stop get first famili let car come insid hous snowstorm kid rough home life give mickey extra long hug aquarium unveil float carcass pacif exhibit area man pretti shaken run casual acquaint cv remington debut new split barrel murder suicid shotgun report nation ditch overflow child worri parent backstori probabl explain sport bar oriol laker bear flag health scare prompt man start over healthier new roommat bestow apart unexpect windfal end tabl coupl put hand item registri loser famili member afford world renown reportag visit second grader gym class fuck amaz pull up greatest countri world unabl keep william h gross stamp galleri open respons man set asid small portion everi paycheck bank gambl sandwich previous thought incap look depress flatten backpack beauti industri exec keep photo cri year old girl desk remind ethan hawk bodi found dump laurel canyon oscar race heat scientist theoriz sun could support fire base life never heard buzzword fli around offic good govern shutdown forc nation zoo turn panda suicid cam deloitt hire account notic popular tweet audit calcul hundr blind pallid disney charact discov live cave deep within space mountain woman primal instinct activ protect near finish glass wine approach server marri coupl stay togeth sake u divorc rate differ waitress bring order flu wait get fuck area man bodi neighborhood kid grant landmark status hous guy kill famili move elder aunt subconsci best buy employe wear differ color shirt reason internet user demand le interact copi editor kill ongo ap style chicago manual gang violenc u citizen resign make controversi remark countri visit see standard bearer global journal tucker carlson unsur middl minut rant crouton tsa guy circl stuff board pas reckless abandon compani presid start fertil embryo decis circl park lot produc carbon emiss final new improv googl map let user launch missil locat globe nation excit see whatev bile internet spew today alcohol plan turn life around involv get sober encourag famili friend motiv man keep struggl indefinit glitch countri allow citizen temporarili walk tabl papa john offer day home deliveri factori farm tabl restaur proud serf local tortur anim greet like normal human be imposs local friend mom head rotat demon pass sign antiqu wicker furnitur studi find suspici circumst still lead caus death russia nation financi advisor recommend captur magic creatur grant wish nation gather around area man tri parallel park audubon societi revok black cap chickade membership speci fail pay due fda recommend least serv food word fruit box latest world unstopp medium juggernaut visit cia issu posthum apolog new evid clear osama bin laden involv attack report appar time convers smile laugh biologist still closer discov bird sex ceo unveil bold new plan undo damag last year bold new plan intrepid middl class parent embark dare search mythic perfect school district franci ford coppola reveal everi godfath film took place narrat world area man intellig probabl intimid woman ice agent feel littl hurt trump think enough terror hispan trump support backup scapegoat readi go case crackdown immigr fix everyth poll find american would open third type screwdriv head report one ever stack eighth grade boyfriend friend bruce springsteen think excus avoid check band year see unmatch report visit styrofoam coffe cup omaha excit final see pacif ocean japan grant suffrag femal robot report internet worth sit second ad stone extraterrestri stumbl across hidden messag listen golden record backward convict sentenc generat profit privat prison tumblewe pube roll desol dorm bathroom horoscop week januari everyon consum electron show forc share singl surg protector cowork went gym morn chipper littl fucker dirti slush machin provid child florida tast winter nation endow art provid million discourag talentless hack serial killer admit lost track pattern go origin nation refus read headlin beyond word year old girl forc dad share photo album never seen websit exemplari journal visit backup spatula alway readi go case unthink happen friend go difficult emot time care avoid fda urg american check weird look potato confus roadsid memori featur bicycl rotari telephon jug kind world frog unveil million year plan move food chain report million american still need guest podcast week pigeon rout accommod report stand work increas cowork disdain lifelong dream match first brush advers recogn wrong mean find fault instead other everi bit aw,-1
120,Report: Friend Doing Sober January Must Have Really Fucked Shit Up Over Holidays ,report friend sober januari must realli fuck shit holiday,-1
121,"Everyone In Middle East Given Own Country In 317,000,000-State Solution ",everyon middl east given countri state solut,-1
122,Man Stuck In Dead-End Body ,man stuck dead end bodi,-1
123,Lowly Mortal Opens Portal To Hell ,lowli mortal open portal hell,-1
124,Jeff Bridges Seated Directly Behind Support Column At Golden Globes ,jeff bridg seat direct behind support column golden globe,-1
125,5 Things To Know About The Golden Globes ,thing know golden globe,-1
126,"ET, Access Hollywood, TMZ Choppers Hovering Above Scene Of Gruesome Red Carpet Dress ",et access hollywood tmz chopper hover scene gruesom red carpet dress,-1
