,Unnamed: 0,jsonid,label,headline_text,subject,speaker,speakerjobtitle,stateinfo,partyaffiliation,barelytruecounts,falsecounts,halftruecounts,mostlytrueocunts,pantsonfirecounts,context,twitter_handle,followers
29,29,12163.json,mostly-true,Youth unemployment in minority communities is about 40 to 45 percent.,"diversity,economy,jobs",peter-kinder,Lieutenant governor,Missouri,republican,0,0,0,1,1,a gubernatorial debate,PeterKinder,10278.0
30,30,13237.json,TRUE,Says Paul Ryan is still endorsing Trump.,"candidates-biography,elections,campaign-advertising",hillary-clinton,Presidential candidate,New York,democrat,40,29,69,76,7,a tweet,HillaryClinton,24462722.0
31,31,5383.json,barely-true,"If you look at states that are right to work, they constantly do not have budget deficits and they have very good business climates.","economy,labor,states,unions,workers",nicholas-kettle,State senator,Rhode Island,republican,1,0,0,0,0,a radio talk show,nickkettle21,294.0
32,32,9727.json,FALSE,What (the Obama administration is) going to come out with in the next several months is youre not even going to be able to burn coal very limitedly in the existing plants.,"climate-change,energy,environment,government-regulation",shelley-moore-capito,U.S. House of Representative,West Virginia,republican,1,1,0,0,0,a campaign ad,SenCapito,66281.0
33,33,8239.json,mostly-true,We cut business taxes so today 70 percent of our businesses dont pay a business tax.,"small-business,taxes",rick-scott,Governor,Florida,republican,28,23,38,34,7,a speech at an Americans for Prosperity Foundation conference,SenRickScott,242079.0
34,34,10121.json,mostly-true,Says Mark Pryor votes with Obama 93 percent of the time.,"bipartisanship,voting-record",tom-cotton,U.S. House of Representatives,Arkansas,republican,3,4,2,3,1,a debate,SenTomCotton,147141.0
35,35,7550.json,TRUE,We have a federal government that thinks they have the authority to regulate our toilet seats.,"consumer-safety,corrections-and-updates,government-regulation,market-regulation,states,supreme-court,workers",ted-cruz,Senator,Texas,republican,36,33,15,19,8,a speech at CPAC,tedcruz,3321920.0
39,39,8492.json,TRUE,"Under President George W. Bush, we added $4.9 trillion to the debt. Under President Obama weve added $6.5 trillion to the debt.",debt,kelly-ayotte,U.S. Senator,New Hampshire,republican,2,1,1,4,0,"a town hall meeting in Hudson, N.H.",KellyAyotte,64233.0
40,40,5352.json,FALSE,Says a U.S. Supreme Court justice suggested that some U.S. cases will be decided based on South African law.,"legal-issues,supreme-court",marco-rubio,U.S. Senator,Florida,republican,33,24,32,35,5,a speech at the CPAC conference,marcorubio,3872339.0
44,44,1926.json,FALSE,We have a director of homeland security who cannot use and will not use the term 'terrorist attack' but instead substitutes 'man-made disaster.' ,"homeland-security,terrorism",jerry-patterson,state land commissioner,Texas,republican,1,1,1,3,0,a speech at the Texas Republican Party Convention,Patterson4TX,4731.0
47,47,3652.json,FALSE,President Barack Obama took exactly none of his own deficit reduction commissions ideas. Not one.,"deficit,federal-budget",john-boehner,Speaker of the House of Representatives,Ohio,republican,13,22,11,4,2,an interview with ABC news,SpeakerBoehner,1404159.0
48,48,12848.json,pants-fire,It was under Barack Obama and Hillary Clinton that changed the rules of engagement that probably cost (Capt. Humayun Khans) life.,"iraq,military",katrina-pierson,,,republican,0,0,0,0,1,an interview on CNN.,KatrinaPierson,463454.0
50,50,4930.json,barely-true,Says the paperback edition of Mitt Romneys book deleted line that Massachusetts individual mandate should be the model for the country,"health-care,states",rick-perry,Governor,Texas,republican,30,30,42,23,18,a Republican presidential debate in Iowa,SecretaryPerry,88194.0
52,52,8187.json,FALSE,Says Terry McAuliffe is the person who invented the scheme to rent out the Lincoln Bedroom.,"campaign-finance,ethics,history",ken-cuccinelli,Attorney General,Virginia,republican,1,10,3,2,1,a speech.,KenCuccinelli,22670.0
53,53,12758.json,TRUE,"We created 800,000 new jobs, we cut the unemployment rate almost in half and today New York State has more private sector jobs than it has ever had in its history",jobs,andrew-cuomo,Governor,New York,democrat,1,0,0,1,0,"a conversation with reporters in Victor, NY.",NYGovCuomo,853370.0
54,54,10693.json,barely-true,"We have towns in West Texas that are out of water, that are having to truck in water.",water,sid-miller,State agriculture commissioner,Texas,republican,1,2,2,0,1,a symposium on water hosted by the Texas Tribune,MillerForTexas,6878.0
55,55,13077.json,half-true,"In Georgia, women earn 82 cents for every dollar earned by men.","jobs,women",jim-barksdale,Senate Candidate,Georgia,democrat,0,0,2,0,0,On his campaign website,jimbarksdale,961.0
56,56,3283.json,half-true,A federal system that verifies employees are authorized to work in the U.S. is inaccurate anywhere from 50 percent all the way up to in excess of 80 percent of the time.,immigration,david-raynor,"Senior Vice President, Government Affairs, Georgia Chamber of Commerce",Georgia,none,0,0,1,0,0,a state legislative committee meeting,crddraynor,409.0
58,58,812.json,FALSE,Sen. Obama's campaign announced that he's choosing his cabinet.,elections,john-mccain,U.S. senator,Arizona,republican,31,39,31,37,8,"a rally in Bensalem, Pa.",SenJohnMcCain,3151858.0
60,60,6000.json,FALSE,Only 2 percent of public high schools in the country offer PE classes.,"education,health-care",michelle-obama,,Illinois,democrat,0,2,1,4,0,an interview with NPR,MichelleObama,12492295.0
61,61,321.json,mostly-true,"Said he's the only Republican candidate ""who's actually turned around a government economy.""",job-accomplishments,rudy-giuliani,Attorney,New York,republican,9,11,10,7,3,"a debate in Boca Raton, Fla.",RudyGiuliani,296687.0
63,63,1833.json,mostly-true,"There are 321,092 public school teachers in Texas. And there are 313,850 non-teachers in our public schools.","education,message-machine,taxes",empower-texans,,Texas,none,1,0,0,1,0,a Web video,EmpowerTexans,12527.0
65,65,10829.json,pants-fire,Transgender individuals in the U.S. have a 1-in-12 chance of being murdered.,"corrections-and-updates,crime,criminal-justice,sexuality",garnet-coleman,"president, ceo of Apartments for America, Inc.",Texas,democrat,1,0,1,0,1,a committee hearing,GFColeman,8124.0
66,66,6612.json,TRUE,"At Bain Capital, we helped start an early childhood learning company called Bright Horizons that First Lady Michelle Obama rightly praised.","candidates-biography,job-accomplishments",mitt-romney,Former governor,Massachusetts,republican,34,32,58,33,19,remarks at the Republican National Convention in Tampa,MittRomney,1980960.0
68,68,6161.json,barely-true,U.S. Rep. Phil Gingrey gave the government the power to electronically spy on Americans without a warrant.,"criminal-justice,terrorism",michael-opitz,,Georgia,republican,1,0,0,0,0,a YouTube ad,MichaelOpitz,1165.0
69,69,2526.json,barely-true,Alex Sink funneled three quarters of a million dollars in no-bid contracts to Bank of America.,"economy,financial-regulation,message-machine",rick-scott,Governor,Florida,republican,28,23,38,34,7,a TV ad.,SenRickScott,242079.0
70,70,3786.json,TRUE,"If you take the population growth here in Virginia, we are net zero on job creation since (Bob McDonnell) became governor.",jobs,terry-mcauliffe,Governor,Virginia,democrat,12,6,2,2,3,a speech.,TerryMcAuliffe,66566.0
71,71,6697.json,barely-true,"Under Obama, home values in Florida collapsed, construction jobs were lost and the state had a high foreclosure rate.","housing,message-machine-2012",mitt-romney,Former governor,Massachusetts,republican,34,32,58,33,19,a campaign ad,MittRomney,1980960.0
72,72,1738.json,mostly-true,"The new Arizona immigration law ""says that any police officer can stop anyone who appears to them to be reasonably suspicious of being an undocumented person.""","immigration,legal-issues",alfredo-gutierrez,Former state Senator,Arizona,democrat,0,0,0,1,0,an interview on MSNBC's Hardball,AlfredoPhxAZ,3515.0
73,73,7425.json,mostly-true,The only time in our history when the debt has been higher than this was the end of World War II.,debt,david-cote,President and CEO of Honeywell International,,none,0,0,0,1,0,a speech during a “Fix the Debt” press event,DavidCote,8894.0
74,74,10039.json,mostly-true,The cost of health care is now the single-biggest factor driving down the federal budget deficit.,"deficit,federal-budget,health-care",barack-obama,President,Illinois,democrat,70,71,160,163,9,a speech at Northwestern University,BarackObama,105967794.0
77,77,3005.json,barely-true,Says one out of three U.S. homeless men is a veteran.,"poverty,veterans",texas-veterans-commission,,,none,1,0,0,0,0,a newspaper article.,TexasVeterans,6423.0
80,80,10053.json,TRUE,Says Scott Brown co-sponsored legislation to let employers deny women coverage for birth control.,"health-care,legal-issues,women",jeanne-shaheen,Senator,New Hampshire,democrat,3,0,4,2,0,a news release,JeanneShaheen,15529.0
81,81,9613.json,half-true,"At some point in their lives, 99% of women use birth control.",sexuality,susan-happ,Jefferson County District Attorney,Wisconsin,democrat,0,0,1,0,0,a press release,Happ4WI,972.0
83,83,8755.json,FALSE,The amount of attention paid this week to Chris Christie makes the coverage of Benghazi ... pale in significance.,"terrorism,transportation",karl-rove,,Texas,republican,2,5,2,8,0,"comments on ""Fox News Sunday""",KarlRove,668993.0
84,84,9989.json,TRUE,Says U.S. Rep. Steve Southerland voted to keep the shutdown going.,federal-budget,gwen-graham,,Florida,democrat,0,0,1,0,0,a campaign commercial,GwenGraham,27364.0
85,85,2044.json,half-true,"In Rick Perrys Texas, we import nurses ... from other countries.",health-care,bill-white,Former mayor of Houston,Texas,democrat,2,3,5,7,3,a speech at the Texas Democratic Party convention,whitebil,2615.0
86,86,11657.json,mostly-true,There is a federal criminal law that says its a crime to transport dentures across state lines.,public-health,bob-goodlatte,U.S. Congressman,Virginia,republican,0,1,4,3,0,a radio interview.,RepGoodlatte,133800.0
87,87,11131.json,mostly-true,We built a new prison every 10 days between 1990 and 2005 to keep up with our mass incarceration explosion of nonviolent offenders.,"crime,criminal-justice",cory-booker,U.S. senator,New Jersey,democrat,0,4,2,8,0,a post on Instagram,CoryBooker,4246648.0
88,88,767.json,barely-true,"Sen. McCain's tax plan provides ""virtually nothing to the middle class.""",taxes,joe-biden,U.S. senator,Delaware,democrat,11,10,21,16,4,vice presidential debate in St. Louis,JoeBiden,3550580.0
89,89,10263.json,FALSE,Austin is burdened by the fastest-growing tax increases of any major city in the nation.,"city-budget,city-government,taxes",jim-skaggs,"Treasurer, Citizens Against Rail Taxes",Texas,none,0,1,0,0,0,as quoted in a news story,SPANKYSPL,75.0
90,90,1969.json,FALSE,"Phoenix, Arizona, is the No. 2 kidnapping capital of the world.",immigration,john-mccain,U.S. senator,Arizona,republican,31,39,31,37,8,comments on 'Meet the Press',SenJohnMcCain,3151858.0
91,91,10386.json,TRUE,I belong to the AFL-CIO.,"candidates-biography,labor",rick-perry,Governor,Texas,republican,30,30,42,23,18,Texas Public Policy Foundation policy orientation,SecretaryPerry,88194.0
92,92,2020.json,mostly-true,The insurance commissioner cant do squat about health care.,health-care,ralph-hudgens,,Georgia,republican,0,0,0,1,0,a radio interview broadcast over the Internet,ralphhudgens,910.0
93,93,4264.json,half-true,Says a poll found him the only Republican candidate who could beat Barack Obama in Texas -- and by eight points.,polls,mitt-romney,Former governor,Massachusetts,republican,34,32,58,33,19,a New Hampshire town hall.,MittRomney,1980960.0
94,94,6359.json,barely-true,"President Ronald Reagan sent troops into conflict only in one circumstance, which was in Grenada We were in a peacekeeping setting in Lebanon.","foreign-policy,history,military",mitt-romney,Former governor,Massachusetts,republican,34,32,58,33,19,an interview on 'Face the Nation.',MittRomney,1980960.0
96,96,9213.json,TRUE,Did you know US population growth is at its lowest since the Great Depression?,"immigration,population",robert-sarvis,"lawyer, businessman",Virginia,libertarian,0,0,0,1,0,a tweet.,RobertSarvisVA,2236.0
97,97,7599.json,mostly-true,"The average student in Florida, what they actually pay out of pocket at our major universities for tuition is as much or less than what they spend on cellphones.",education,will-weatherford,State Representative,Florida,republican,2,3,4,3,0,a Board of Governors meeting,willweatherford,21435.0
98,98,7258.json,TRUE,"Since 1968, more Americans have died from gunfire than died in all the wars of this countrys history.",guns,mark-shields,Columnist and commentator,"Washington, D.C.",none,1,0,0,0,0,the PBS NewsHour,Mark__Shields,1909.0
105,105,338.json,TRUE,Sen. Obama has always had a 100 percent prochoice rating.,abortion,barack-obama,President,Illinois,democrat,70,71,160,163,9,an e-mail message sent to voters before Super Tuesday.,BarackObama,105967795.0
106,106,7848.json,half-true,"Since Gina Raimondo took office, investment fees on the states pension portfolio have gone up from about $12 million annually to about $50 million.","candidates-biography,economy,pensions,retirement,state-finances,wealth,workers",frank-caprio,R.I. General Treasurer,Rhode Island,democrat,0,0,4,0,0,"an appearance on ""10 News Conference""",fcaprio2,560.0
107,107,2820.json,TRUE,The (federal) debt is growing by more than $4 billion a day.,"deficit,economy,federal-budget",rick-perry,Governor,Texas,republican,30,30,42,23,18,"in ""Fed Up! Our Fight to Save America from Washington""",SecretaryPerry,88194.0
108,108,4456.json,half-true,"Under President Barack Obamas jobs bill, states would no longer have to lay off teachers, firefighters and police officers.",jobs,david-scott,Congressman ,Georgia,democrat,0,0,2,1,0,a WABE-FM (90.1) radio interview,repdavidscott,20537.0
109,109,7796.json,FALSE,"Of our 98,000 teachers who are K-12, over 53,000 of those teachers today are over 50 years old.","education,retirement",terry-mcauliffe,Governor,Virginia,democrat,12,6,2,2,3,a speech.,TerryMcAuliffe,66566.0
110,110,7467.json,mostly-true,Two-thirds of Wisconsinites receiving unemployment checks are not required to search for work due to current work search exemptions.,"government-regulation,jobs,poverty,welfare",scott-walker,Milwaukee County Executive,Wisconsin,republican,26,41,32,40,11,a speech,ScottWalker,281971.0
112,112,9492.json,half-true,"The IRS also investigated liberal groups, groups that had progressive in their name. ... The IRS was basically looking at everybody.","elections,taxes",donna-brazile,Political commentator,"Washington, D.C.",democrat,0,1,4,7,0,"comments on CNN's ""State of the Union""",donnabrazile,654343.0
113,113,6895.json,barely-true,Says Obama promised unemployment would never go above 8 percent.,jobs,paul-ryan,U.S. Representative,Wisconsin,republican,19,6,16,14,2,a vice presidential debate,SpeakerRyan,3647633.0
114,114,10423.json,TRUE,The economy is creating jobs at the fastest pace since 1999.,"economy,jobs",barack-obama,President,Illinois,democrat,70,71,160,163,9,the State of the Union address,BarackObama,105967795.0
115,115,6767.json,mostly-true,President Obama decided not to meet with Prime Minister Benjamin Netanyahu in New York.,"foreign-policy,israel,message-machine-2012",adam-hasner,,Florida,republican,2,1,4,4,0,a press release from the Mitt Romney campaign,AdamHasner,5518.0
118,118,162.json,pants-fire,"Rudy Giuliani is ""probably the most underqualified man since George Bush to seek the presidency.""",job-accomplishments,joe-biden,U.S. senator,Delaware,democrat,11,10,21,16,4,Philadelphia,JoeBiden,3550580.0
119,119,10768.json,FALSE,"About half of the presidents have been governors; half of them, senators.","congress,corrections-and-updates,elections,history,states",ted-cruz,Senator,Texas,republican,36,33,15,19,8,remarks in New Hampshire,tedcruz,3321920.0
120,120,12593.json,mostly-true,"After Britains vote to leave the European Union, within 24 hours, Americans lost $100 billion from our 401(k)s.","economy,retirement",hillary-clinton,Presidential candidate,New York,democrat,40,29,69,76,7,"remarks in Cincinnati, Ohio",HillaryClinton,24462722.0
121,121,8164.json,mostly-true,"Medicaid spending declined by 1.9 percent in 2012, the second such decline in 47 years.",medicaid,kathleen-sebelius,U.S. Health and Human Services Secretary,Kansas,democrat,1,0,1,3,1,a speech,Sebelius,2978.0
122,122,6520.json,TRUE,Says 88 Texas constables have died in the line of duty.,"crime,criminal-justice,history,public-safety,public-service",bruce-elfant,"Constable, Travis County, Precinct 5",Texas,democrat,0,0,0,1,0,a press statement.,BElfant01,1.0
124,124,4629.json,mostly-true,"The city of Columbus would save $41 million a year if employees had to contribute to their own, guaranteed-check pensions.","jobs,labor,unions",dave-yost,Ohio auditor,ohio,republican,1,0,0,1,0,a newspaper column,Yost4Ohio,5711.0
126,126,10560.json,mostly-true,You had more women getting computer sciences degrees in the 80s by a factor of 2-plus than you do now.,"education,technology,women",hillary-clinton,Presidential candidate,New York,democrat,40,29,69,76,7,a conference in Silicon Valley,HillaryClinton,24462722.0
129,129,11385.json,half-true,About 3 percent of murders and crimes are committed with guns from people who actually (legally) purchase those guns.,"crime,guns",joe-scarborough,Host of a morning show on MSNBC,,none,1,4,3,3,0,"a broadcast of MSNBC's ""Morning Joe""",JoeNBC,2544670.0
130,130,3836.json,mostly-true,Some neighborhood schools are closing.,"education,state-budget",texas-house-democratic-caucus,,Texas,democrat,0,0,0,1,0,a press release,TexasHDC,3563.0
131,131,325.json,mostly-true,He told gay organizers in Massachusetts he would be a stronger advocate for special rights than even Ted Kennedy.,gays-and-lesbians,john-mccain,U.S. senator,Arizona,republican,31,39,31,37,8,an automated call to voters,SenJohnMcCain,3151858.0
132,132,2555.json,mostly-true,"The years that I was speaker, the Florida House consistently offered leaner budgets than the governor offered.","state-budget,taxes",marco-rubio,U.S. Senator,Florida,republican,33,24,32,35,5,an ABC News U.S. Senate debate.,marcorubio,3872339.0
133,133,7803.json,barely-true,"We are already almost halfway to our 2010 goal of creating 700,000 new jobs in seven years.","economy,jobs",rick-scott,Governor,Florida,republican,28,23,38,34,7,2013-14 veto message,SenRickScott,242079.0
134,134,8985.json,TRUE,Says the U.S. Supreme Court found that Social Security is not guaranteed.,social-security,david-jolly,,Florida,republican,4,0,1,1,0,a Congressional campaign debate,DavidJollyFL,89834.0
135,135,12021.json,FALSE,SaysMichael Bennet wants to close Guantanamo Bay prisonand bring terrorists right here to Colorado.,"congress,terrorism",jon-keyser,,Colorado,republican,0,1,0,0,1,a candidate forum ,Jon_Keyser,938.0
137,137,11486.json,pants-fire,"The president said hes going to bring in 250,000 (Syrian and Iraqi) refugees into this country.","foreign-policy,immigration,terrorism",sean-hannity,Radio/TV host,,none,3,5,3,2,1,"a segment of Fox News' ""Hannity""",seanhannity,4070059.0
138,138,7324.json,barely-true,"Research shows that a vast majority of arriving immigrants today come here because they believe that government is the source of prosperity, and thats what they support.","immigration,pundits",rush-limbaugh,Radio host,,none,9,11,5,2,10,a radio interview,rushlimbaugh,599203.0
139,139,4884.json,mostly-true,Newt Gingrichs immigration plan offers a new doorway to amnesty.,immigration,mitt-romney,Former governor,Massachusetts,republican,34,32,58,33,19,a press conference,MittRomney,1980960.0
140,140,2257.json,FALSE,Mr. Caprio is a career politician who has never worked in the private sector.,candidates-biography,john-robitaille,,Rhode Island,republican,0,1,2,0,0,a campaign news release,John_Robitaille,2665.0
143,143,12014.json,mostly-true,President Obama took more money from Wall Street in the 2008 campaign than anybody ever had.,"campaign-finance,economy,elections,financial-regulation,history,stimulus,voting-record",hillary-clinton,Presidential candidate,New York,democrat,40,29,69,76,7,"a Democratic debate in Flint, Mich.",HillaryClinton,24462722.0
144,144,13241.json,half-true,Donald Trump has said nuclear proliferation is OK.,nuclear,mark-warner,U.S. Senator,Virginia,democrat,3,1,6,3,0,a TV interview.,MarkWarner,443560.0
145,145,445.json,TRUE,"Hillary Clinton has taken over $800,000 from lobbyists.",ethics,barack-obama,President,Illinois,democrat,70,71,160,163,9,an online ad.,BarackObama,105967796.0
146,146,6588.json,FALSE,Barack Obama has never even worked in business.,candidates-biography,rob-portman,U.S. senator from Ohio,Ohio,republican,3,5,11,11,1,a speech at the Republican National Convention in Tampa,robportman,20319.0
148,148,3782.json,FALSE,Says Gov. Rick Perry has been begging for the federal government to send the Coast Guard to patrol two lakes on the U.S.-Mexico border.,"crime,immigration",louie-gohmert,U.S. House member,Texas,republican,2,6,1,0,1,a radio interview.,replouiegohmert,206221.0
150,150,6827.json,mostly-true,Were now spending 42 percent of our economy on government.,"debates,federal-budget,government-efficiency",mitt-romney,Former governor,Massachusetts,republican,34,32,58,33,19,the first presidential debate in Denver,MittRomney,1980960.0
153,153,2869.json,half-true,We (Democrats) have made steady progress creating jobs and improving our schools.,"education,government-efficiency,job-accomplishments,jobs",armond-budish,Minority leader in the Ohio House of Representatives,Ohio,democrat,0,1,2,3,0,a news release,ArmondBudish,1846.0
154,154,3864.json,pants-fire,Michigan and Massachusetts raised their bottle deposit and could no longer afford the program because the redemptions were so high there was no profit in there.,environment,jeff-kruse,state senator,Oregon,republican,0,0,1,0,2,on the Oregon Senate floor,JeffKruse303,24.0
155,155,3054.json,TRUE,"Whether you like to admit it or not, half our general revenue goes to education.","education,state-budget",mike-haridopolos,Florida Senate President,Florida,republican,0,3,1,1,0,comments to reporters.,MikeHaridopolos,6076.0
156,156,2367.json,FALSE,Im the only one whos fought against developers draining the Everglades!,"environment,message-machine",kendrick-meek,,Florida,democrat,2,6,1,4,1,a television ad,KendrickMeek,6665.0
160,160,4453.json,barely-true,The jobs bill includes President Obamas tax on soup kitchens,"economy,jobs,taxes,workers",eric-cantor,House Majority Leader,Virginia,republican,9,6,4,4,4,a blog post,EricCantor,279310.0
161,161,6898.json,barely-true,Says the Obama administration spent taxpayer dollars on electric cars in Finland (and) windmills in China.,stimulus,paul-ryan,U.S. Representative,Wisconsin,republican,19,6,16,14,2,the vice-presidential debate,SpeakerRyan,3647633.0
164,164,11828.json,FALSE,We have more illegal immigrants here than we did five years ago.,immigration,marco-rubio,U.S. Senator,Florida,republican,33,24,32,35,5,"an interview on NBC's ""Meet the Press""",marcorubio,3872340.0
165,165,4504.json,barely-true,Says Rick Perry wrote a letter supporting Hillarycare.,health-care,ron-paul,U.S. representative,Texas,republican,5,8,8,8,3,a presidential debate,RonPaul,642429.0
167,167,1441.json,pants-fire,"The presidents health care proposals will cause most Americans to have their premiums increased, not decreased, and hundreds of millions of people lose their current insurance coverage.","health-care,pundits",nancy-pfotenhauer,political strategist,,republican,0,0,0,0,1,an interview on CNN,NPfotenhauer,131.0
169,169,7295.json,half-true,Says Chris Christie vetoed a jobs package of 30 bills.,jobs,stephen-sweeney,State Senator,,democrat,1,2,3,1,0,a radio interview,StephenSweens10,430.0
170,170,9554.json,TRUE,There are already more American jobs in the solar industry than in coal mining.,"climate-change,energy,environment,jobs",sheldon-whitehouse,U.S. Senator,Rhode Island,democrat,2,3,2,7,0,a newspaper commentary,SenWhitehouse,318872.0
171,171,2576.json,half-true,Says Illinois gubernatorial candidate Bill Bradys first priority after winning the primary was to sponsor a bill that would mass-euthanize sheltered dogs and cats in gas chambers.,"agriculture,job-accomplishments,message-machine",pat-quinn,Governor,Illinois,democrat,0,0,1,0,1,a campaign commercial,PQuinnfortheWin,2579.0
172,172,2954.json,half-true,Barack Obama is in an economy thats only worsened since hes been president of the United States.,"bankruptcy,economy,history,housing,income,job-accomplishments,pundits,abc-news-week,workers",matthew-dowd,Commentator,Texas,independent,0,0,2,4,0,"an interview on ABC's ""This Week with Christiane Amanpour""",matthewjdowd,137651.0
173,173,81.json,mostly-true,"Romney failed to take action against ""sanctuary cities"" in Massachusetts.",immigration,rudy-giuliani,Attorney,New York,republican,9,11,10,7,3,"St. Petersburg, Fla.",RudyGiuliani,296687.0
175,175,10142.json,FALSE,Says Thomas Eric Duncan came into the United States with an elevated temperature.,"ebola,health-care,public-health,transportation",darrell-issa,U.S. House of Representatives,California,republican,0,3,0,0,0,"comments on CNN's ""State of the Union""",DarrellIssa,298941.0
179,179,4681.json,TRUE,Says judges get better benefits at a lower cost than everybody else in the state.,pensions,chris-christie,Governor of New Jersey,New Jersey,republican,10,17,27,19,8,a news conference,ChrisChristie,134939.0
180,180,5524.json,TRUE,There are a lot of casinos across the country that have gone bankrupt.,"bankruptcy,economy,gambling,state-budget,state-finances,states",robert-jacquard,State representative,Rhode Island,democrat,0,0,0,0,0,a speech,RobertJacquard,64.0
181,181,5044.json,TRUE,Small businesses create 70 percent of the jobs in America.,"economy,jobs,small-business",eric-cantor,House Majority Leader,Virginia,republican,9,6,4,4,4,a news release.,EricCantor,279310.0
183,183,8090.json,half-true,"Over 12,000 school kids were arrested in Florida. It makes Florida the nations leader in that area.","children,crime,education",dream-defenders,,Florida,none,0,0,1,0,0,"a meeting with Wansley Walters, Florida Department of Juvenile Justice Secretary",Dreamdefenders,66935.0
184,184,13069.json,mostly-true,If Texas were a country our economy would rank # 10...in the WORLD.,"corrections-and-updates,economy,states",greg-abbott,governor,Texas,republican,11,3,8,6,5,a tweet,GregAbbott_TX,246227.0
185,185,6969.json,FALSE,There are more oil rigs in operation in the United States than the rest of the world combined.,"corporations,debt,economy,energy,environment,federal-budget,gas-prices,government-regulation,infrastructure",david-cicilline,mayor of Providence,Rhode Island,democrat,7,4,5,4,1,a debate,davidcicilline,82461.0
186,186,8733.json,half-true,"Payday lenders profit from the poor by charging 1,000-plus percent interest.",financial-regulation,wendy-davis,state senator,Texas,democrat,5,1,8,12,1,a press release,wendydavis,196205.0
